CODIGODEBARRAS,NOMBRE,PRESENTACION,MARCA,UNIDADDEMEDIDA,ESPECIFICACIONEMPACADO,CATEGORIA;;;;;;;,;,DEC;PRECIOUNITARIO;,;CANTIDAD;,;CANTIDADRECOMPRA;,;NIVELREORDEN;,;,DEC;PRECIOUNIDADEMEDIDA;,;IDSUCURSAL;,;CODIGODEBARRAS,NOMBRE,PRESENTACION,MARCA,UNIDADDEMEDIDA,ESPECIFICACIONEMPACADO,CATEGORIA,PRECIOUNITARIO,DEC,CANTIDAD,CANTIDADRECOMPRA,NIVELREORDEN,PRECIOUNIDADEMEDIDA,DEC,IDSUCURSAL,
"d6w6o6e8m9,""Club Soda - Schweppes, 355 Ml"",Botella Plastica,Muxo,gr,arcu adipiscing,29";;;;;;;,;;447,620767;,;8;,;20;,;38;,;;1,119051918;,;910;,;"d6w6o6e8m9,""Club Soda - Schweppes, 355 Ml"",Botella Plastica,Muxo,gr,arcu adipiscing,29,447,620767,8,20,38,1,119051918,910,"
c4r7u0m7c7,Chickensplit Half,Botella Plastica,Oyondu,gr,ultrices,30;;;;;;;,;;6694,413841;,;11;,;26;,;31;,;;16,7360346;,;366;,;c4r7u0m7c7,Chickensplit Half,Botella Plastica,Oyondu,gr,ultrices,30,6694,413841,11,26,31,16,7360346,366,
"c3e4p0v4j3,""Leeks - Baby, White"",Regalo,Feedfish,gr,sollicitudin,31";;;;;;;,;;6635,859645;,;17;,;39;,;11;,;;16,58964911;,;39;,;"c3e4p0v4j3,""Leeks - Baby, White"",Regalo,Feedfish,gr,sollicitudin,31,6635,859645,17,39,11,16,58964911,39,"
"e5c2k7g9b9,""Beef - Bones, Cut - Up"",Canasta,Yodo,cm3,morbi non,32";;;;;;;,;;3970,353724;,;19;,;42;,;42;,;;9,925884311;,;398;,;"e5c2k7g9b9,""Beef - Bones, Cut - Up"",Canasta,Yodo,cm3,morbi non,32,3970,353724,19,42,42,9,925884311,398,"
z8f4u8u5k4,Coffee - Irish Cream,Botella Vidrio,Kaymbo,gr,cubilia curae,33;;;;;;;,;;31939,54788;,;21;,;46;,;49;,;;79,8488697;,;174;,;z8f4u8u5k4,Coffee - Irish Cream,Botella Vidrio,Kaymbo,gr,cubilia curae,33,31939,54788,21,46,49,79,8488697,174,
u4f8s0s6f1,Beer - Sleemans Cream Ale,Ancheta,Babblestorm,cm3,purus phasellus,34;;;;;;;,;;15323,44196;,;20;,;45;,;11;,;;38,30860491;,;213;,;u4f8s0s6f1,Beer - Sleemans Cream Ale,Ancheta,Babblestorm,cm3,purus phasellus,34,15323,44196,20,45,11,38,30860491,213,
s6l5w4e6i0,Extract - Almond,Botella Vidrio,Eayo,gr,ligula,35;;;;;;;,;;3929,013592;,;34;,;73;,;21;,;;9,822533979;,;896;,;s6l5w4e6i0,Extract - Almond,Botella Vidrio,Eayo,gr,ligula,35,3929,013592,34,73,21,9,822533979,896,
c4r1t3e8q2,Carbonated Water - Raspberry,Ancheta,Yacero,cm3,ipsum,36;;;;;;;,;;39185,30158;,;8;,;22;,;28;,;;97,96325396;,;616;,;c4r1t3e8q2,Carbonated Water - Raspberry,Ancheta,Yacero,cm3,ipsum,36,39185,30158,8,22,28,97,96325396,616,
"p7z6a3y5k3,""Liners - Banana, Paper"",Paquete,Meeveo,cm3,rutrum rutrum,37";;;;;;;,;;5063,96342;,;47;,;98;,;49;,;;12,65990855;,;544;,;"p7z6a3y5k3,""Liners - Banana, Paper"",Paquete,Meeveo,cm3,rutrum rutrum,37,5063,96342,47,98,49,12,65990855,544,"
"v7j4e4t8u8,""Tomatoes - Vine Ripe, Yellow"",Paquete,Youfeed,gr,ipsum,38";;;;;;;,;;15807,74904;,;35;,;75;,;29;,;;39,51937261;,;68;,;"v7j4e4t8u8,""Tomatoes - Vine Ripe, Yellow"",Paquete,Youfeed,gr,ipsum,38,15807,74904,35,75,29,39,51937261,68,"
l5a2q4e3b9,Blue Curacao - Marie Brizard,Botella Vidrio,Meevee,cm3,nulla elit,39;;;;;;;,;;32784,63318;,;20;,;44;,;36;,;;81,96158295;,;122;,;l5a2q4e3b9,Blue Curacao - Marie Brizard,Botella Vidrio,Meevee,cm3,nulla elit,39,32784,63318,20,44,36,81,96158295,122,
u6c3s9b2b7,Rice - Jasmine Sented,Ancheta,Trudeo,cm3,justo maecenas,40;;;;;;;,;;9044,681298;,;23;,;50;,;49;,;;22,61170325;,;693;,;u6c3s9b2b7,Rice - Jasmine Sented,Ancheta,Trudeo,cm3,justo maecenas,40,9044,681298,23,50,49,22,61170325,693,
t1j4d2f7g7,Sausage - Blood Pudding,Ancheta,Blogpad,gr,odio in,41;;;;;;;,;;40471,25395;,;14;,;34;,;37;,;;101,1781349;,;192;,;t1j4d2f7g7,Sausage - Blood Pudding,Ancheta,Blogpad,gr,odio in,41,40471,25395,14,34,37,101,1781349,192,
o0r9g5z8p7,Pasta - Ravioli,Botella Plastica,Blogtags,gr,metus,42;;;;;;;,;;15680,16107;,;6;,;16;,;42;,;;39,20040268;,;268;,;o0r9g5z8p7,Pasta - Ravioli,Botella Plastica,Blogtags,gr,metus,42,15680,16107,6,16,42,39,20040268,268,
k9t4x6l8h6,Table Cloth 62x120 Colour,Botella Plastica,Ntags,cm3,erat,43;;;;;;;,;;1625,216112;,;26;,;57;,;22;,;;4,06304028;,;670;,;k9t4x6l8h6,Table Cloth 62x120 Colour,Botella Plastica,Ntags,cm3,erat,43,1625,216112,26,57,22,4,06304028,670,
o9p3j7w3s0,Lettuce - Boston Bib - Organic,Botella Vidrio,Meezzy,gr,vel,44;;;;;;;,;;31794,31033;,;1;,;7;,;41;,;;79,48577582;,;249;,;o9p3j7w3s0,Lettuce - Boston Bib - Organic,Botella Vidrio,Meezzy,gr,vel,44,31794,31033,1,7,41,79,48577582,249,
b6p6d5g8o7,Flour - Cake,Paquete,Tagtune,gr,nam ultrices,45;;;;;;;,;;12056,33992;,;28;,;62;,;23;,;;30,1408498;,;593;,;b6p6d5g8o7,Flour - Cake,Paquete,Tagtune,gr,nam ultrices,45,12056,33992,28,62,23,30,1408498,593,
"v1i1w5y3e5,""Soup - Campbells, Minestrone"",Regalo,Pixonyx,cm3,luctus,46";;;;;;;,;;1798,932237;,;49;,;103;,;34;,;;4,497330593;,;965;,;"v1i1w5y3e5,""Soup - Campbells, Minestrone"",Regalo,Pixonyx,cm3,luctus,46,1798,932237,49,103,34,4,497330593,965,"
f6c1c0e3o8,Wine - Wyndham Estate Bin 777,Tela,Dynava,gr,blandit ultrices,47;;;;;;;,;;13163,76079;,;4;,;14;,;48;,;;32,90940197;,;134;,;f6c1c0e3o8,Wine - Wyndham Estate Bin 777,Tela,Dynava,gr,blandit ultrices,47,13163,76079,4,14,48,32,90940197,134,
r3k3a7g3y4,Onions - Cooking,Regalo,Topiclounge,gr,odio,48;;;;;;;,;;5122,756299;,;6;,;17;,;43;,;;12,80689075;,;350;,;r3k3a7g3y4,Onions - Cooking,Regalo,Topiclounge,gr,odio,48,5122,756299,6,17,43,12,80689075,350,
b1g3e2n6w4,Truffle - Whole Black Peeled,Regalo,Centidel,cm3,nibh,49;;;;;;;,;;43818,91796;,;33;,;72;,;37;,;;109,5472949;,;390;,;b1g3e2n6w4,Truffle - Whole Black Peeled,Regalo,Centidel,cm3,nibh,49,43818,91796,33,72,37,109,5472949,390,
p6k2t1l9s1,Cucumber - English,Ancheta,Buzzster,cm3,risus auctor,50;;;;;;;,;;20368,48408;,;15;,;35;,;10;,;;50,9212102;,;750;,;p6k2t1l9s1,Cucumber - English,Ancheta,Buzzster,cm3,risus auctor,50,20368,48408,15,35,10,50,9212102,750,
j7g3f2t2s0,Muffin Mix - Chocolate Chip,Paquete,Yodo,gr,scelerisque quam,51;;;;;;;,;;2662,033542;,;34;,;72;,;2;,;;6,655083856;,;537;,;j7g3f2t2s0,Muffin Mix - Chocolate Chip,Paquete,Yodo,gr,scelerisque quam,51,2662,033542,34,72,2,6,655083856,537,
u1t9s6x9g8,Sauce - Rosee,Ancheta,Katz,gr,id nisl,52;;;;;;;,;;3523,131853;,;0;,;5;,;24;,;;8,807829633;,;585;,;u1t9s6x9g8,Sauce - Rosee,Ancheta,Katz,gr,id nisl,52,3523,131853,0,5,24,8,807829633,585,
g6h5t2e5j8,Pike - Frozen Fillet,Caja,Quatz,gr,enim,53;;;;;;;,;;20388,12517;,;27;,;59;,;39;,;;50,97031292;,;447;,;g6h5t2e5j8,Pike - Frozen Fillet,Caja,Quatz,gr,enim,53,20388,12517,27,59,39,50,97031292,447,
u9p8n0z0n7,Cheese - Brie,Canasta,Jaloo,gr,enim,54;;;;;;;,;;89486,53603;,;15;,;35;,;14;,;;223,7163401;,;509;,;u9p8n0z0n7,Cheese - Brie,Canasta,Jaloo,gr,enim,54,89486,53603,15,35,14,223,7163401,509,
s9d5v5m5k5,Cookies Cereal Nut,Paquete,Yakitri,gr,massa id,55;;;;;;;,;;15939,15792;,;21;,;47;,;39;,;;39,8478948;,;954;,;s9d5v5m5k5,Cookies Cereal Nut,Paquete,Yakitri,gr,massa id,55,15939,15792,21,47,39,39,8478948,954,
j2f9n0x7f8,Longos - Grilled Veg Sandwiches,Botella Plastica,Tagcat,gr,lacus,56;;;;;;;,;;3547,745983;,;29;,;62;,;10;,;;8,869364958;,;282;,;j2f9n0x7f8,Longos - Grilled Veg Sandwiches,Botella Plastica,Tagcat,gr,lacus,56,3547,745983,29,62,10,8,869364958,282,
"k9s1p2f7u7,""Soup - Campbells, Butternut"",Paquete,Twimm,gr,et tempus,57";;;;;;;,;;2311,153505;,;26;,;57;,;17;,;;5,777883763;,;986;,;"k9s1p2f7u7,""Soup - Campbells, Butternut"",Paquete,Twimm,gr,et tempus,57,2311,153505,26,57,17,5,777883763,986,"
"u1g5z5e0h7,""Beer - Alexander Kieths, Pale Ale"",Paquete,Feedbug,gr,nisi,58";;;;;;;,;;14536,02284;,;11;,;26;,;50;,;;36,3400571;,;7;,;"u1g5z5e0h7,""Beer - Alexander Kieths, Pale Ale"",Paquete,Feedbug,gr,nisi,58,14536,02284,11,26,50,36,3400571,7,"
k0u6x3f4j2,Pasta - Ravioli,Botella Vidrio,Photofeed,gr,convallis tortor,59;;;;;;;,;;1605,031235;,;21;,;48;,;4;,;;4,012578088;,;187;,;k0u6x3f4j2,Pasta - Ravioli,Botella Vidrio,Photofeed,gr,convallis tortor,59,1605,031235,21,48,4,4,012578088,187,
m5f3i3e9u3,Wine - Taylors Reserve,Botella Plastica,Reallinks,gr,at,60;;;;;;;,;;26237,91297;,;8;,;22;,;7;,;;65,59478244;,;69;,;m5f3i3e9u3,Wine - Taylors Reserve,Botella Plastica,Reallinks,gr,at,60,26237,91297,8,22,7,65,59478244,69,
t2t3p8q5l7,Eggplant - Regular,Caja,Centizu,cm3,tellus nulla,61;;;;;;;,;;2525,65682;,;23;,;51;,;28;,;;6,31414205;,;662;,;t2t3p8q5l7,Eggplant - Regular,Caja,Centizu,cm3,tellus nulla,61,2525,65682,23,51,28,6,31414205,662,
"m2g3i3t2f4,""Tart Shells - Savory, 3"",Canasta,Livetube,gr,tincidunt lacus,62";;;;;;;,;;38162,17191;,;14;,;32;,;0;,;;95,40542978;,;440;,;"m2g3i3t2f4,""Tart Shells - Savory, 3"",Canasta,Livetube,gr,tincidunt lacus,62,38162,17191,14,32,0,95,40542978,440,"
h3j9q1v1k9,Oil - Canola,Botella,Browsetype,gr,diam id,63;;;;;;;,;;44911,45559;,;49;,;102;,;25;,;;112,278639;,;633;,;h3j9q1v1k9,Oil - Canola,Botella,Browsetype,gr,diam id,63,44911,45559,49,102,25,112,278639,633,
"w4y9r7u2h5,""Glass - Wine, Plastic, Clear 5 Oz"",Ancheta,Abatz,cm3,felis,64";;;;;;;,;;1644,715188;,;10;,;26;,;38;,;;4,111787971;,;72;,;"w4y9r7u2h5,""Glass - Wine, Plastic, Clear 5 Oz"",Ancheta,Abatz,cm3,felis,64,1644,715188,10,26,38,4,111787971,72,"
i6x0o1t3p7,Arrowroot,Botella,Trudoo,gr,justo aliquam,65;;;;;;;,;;88527,27986;,;23;,;50;,;26;,;;221,3181997;,;486;,;i6x0o1t3p7,Arrowroot,Botella,Trudoo,gr,justo aliquam,65,88527,27986,23,50,26,221,3181997,486,
j8r5g2x3p9,Flour - Bread,Paquete,Snaptags,gr,mattis odio,66;;;;;;;,;;2922,843683;,;49;,;103;,;43;,;;7,307109208;,;684;,;j8r5g2x3p9,Flour - Bread,Paquete,Snaptags,gr,mattis odio,66,2922,843683,49,103,43,7,307109208,684,
b4g3d5x7r0,Cake - Box Window 10x10x2.5,Botella Vidrio,Browsetype,gr,sem mauris,67;;;;;;;,;;12808,25512;,;34;,;73;,;19;,;;32,0206378;,;141;,;b4g3d5x7r0,Cake - Box Window 10x10x2.5,Botella Vidrio,Browsetype,gr,sem mauris,67,12808,25512,34,73,19,32,0206378,141,
"c9z7k8q0e4,""Chicken - Diced, Cooked"",Canasta,Viva,gr,quisque,68";;;;;;;,;;70430,09198;,;41;,;87;,;11;,;;176,0752299;,;465;,;"c9z7k8q0e4,""Chicken - Diced, Cooked"",Canasta,Viva,gr,quisque,68,70430,09198,41,87,11,176,0752299,465,"
m0d0o9t4y8,Grapefruit - Pink,Canasta,Twimbo,gr,et,69;;;;;;;,;;75871,82485;,;34;,;74;,;50;,;;189,6795621;,;135;,;m0d0o9t4y8,Grapefruit - Pink,Canasta,Twimbo,gr,et,69,75871,82485,34,74,50,189,6795621,135,
d6x0e0z8h0,Longos - Chicken Wings,Caja,Demimbu,gr,amet,70;;;;;;;,;;13080,49397;,;12;,;28;,;0;,;;32,70123492;,;114;,;d6x0e0z8h0,Longos - Chicken Wings,Caja,Demimbu,gr,amet,70,13080,49397,12,28,0,32,70123492,114,
n1s7w9p5v3,Ketchup - Tomato,Regalo,Npath,cm3,molestie,71;;;;;;;,;;36979,17481;,;42;,;88;,;37;,;;92,44793702;,;905;,;n1s7w9p5v3,Ketchup - Tomato,Regalo,Npath,cm3,molestie,71,36979,17481,42,88,37,92,44793702,905,
e3d1d6z8c3,Flour Dark Rye,Caja,Eimbee,cm3,elit proin,72;;;;;;;,;;16386,865;,;43;,;91;,;49;,;;40,96716251;,;753;,;e3d1d6z8c3,Flour Dark Rye,Caja,Eimbee,cm3,elit proin,72,16386,865,43,91,49,40,96716251,753,
a7r1p2q9e5,Flower - Commercial Spider,Ancheta,Skaboo,gr,eu mi,73;;;;;;;,;;6452,759084;,;3;,;10;,;45;,;;16,13189771;,;75;,;a7r1p2q9e5,Flower - Commercial Spider,Ancheta,Skaboo,gr,eu mi,73,6452,759084,3,10,45,16,13189771,75,
z6k6b6m6e3,Tea - Herbal - 6 Asst,Botella Vidrio,Gabspot,gr,non quam,74;;;;;;;,;;20774,5692;,;13;,;31;,;6;,;;51,93642301;,;993;,;z6k6b6m6e3,Tea - Herbal - 6 Asst,Botella Vidrio,Gabspot,gr,non quam,74,20774,5692,13,31,6,51,93642301,993,
o1a0v7b4y4,Sauce - Fish 25 Ozf Bottle,Canasta,Jabberstorm,gr,parturient montes,75;;;;;;;,;;6104,89533;,;42;,;89;,;5;,;;15,26223832;,;662;,;o1a0v7b4y4,Sauce - Fish 25 Ozf Bottle,Canasta,Jabberstorm,gr,parturient montes,75,6104,89533,42,89,5,15,26223832,662,
y9h2u4u0q4,Danishes - Mini Raspberry,Botella,Quaxo,cm3,elit,76;;;;;;;,;;28352,8169;,;34;,;73;,;43;,;;70,88204225;,;249;,;y9h2u4u0q4,Danishes - Mini Raspberry,Botella,Quaxo,cm3,elit,76,28352,8169,34,73,43,70,88204225,249,
h5h9e0m2z6,Crab Brie In Phyllo,Botella Vidrio,Jabbercube,cm3,ut,77;;;;;;;,;;525,2622149;,;14;,;34;,;9;,;;1,313155537;,;637;,;h5h9e0m2z6,Crab Brie In Phyllo,Botella Vidrio,Jabbercube,cm3,ut,77,525,2622149,14,34,9,1,313155537,637,
o0j0f7r1x7,Saskatoon Berries - Frozen,Canasta,Skilith,gr,orci eget,78;;;;;;;,;;16174,52433;,;34;,;74;,;6;,;;40,43631082;,;625;,;o0j0f7r1x7,Saskatoon Berries - Frozen,Canasta,Skilith,gr,orci eget,78,16174,52433,34,74,6,40,43631082,625,
w5u8f4b1t4,Juice - Orange,Paquete,Myworks,cm3,nibh in,79;;;;;;;,;;655,2708628;,;6;,;18;,;30;,;;1,638177157;,;618;,;w5u8f4b1t4,Juice - Orange,Paquete,Myworks,cm3,nibh in,79,655,2708628,6,18,30,1,638177157,618,
u6h0l9u1g0,Sauce - Rosee,Botella Plastica,Skiba,cm3,enim lorem,80;;;;;;;,;;44441,14043;,;7;,;18;,;2;,;;111,1028511;,;535;,;u6h0l9u1g0,Sauce - Rosee,Botella Plastica,Skiba,cm3,enim lorem,80,44441,14043,7,18,2,111,1028511,535,
x7y1l4z1h8,Wine - Jafflin Bourgongone,Bolsa,Vidoo,cm3,maecenas,81;;;;;;;,;;25498,80786;,;12;,;28;,;32;,;;63,74701964;,;702;,;x7y1l4z1h8,Wine - Jafflin Bourgongone,Bolsa,Vidoo,cm3,maecenas,81,25498,80786,12,28,32,63,74701964,702,
h4g2z0w1e1,Ecolab - Hobart Washarm End Cap,Paquete,Oyope,gr,purus,82;;;;;;;,;;3991,349839;,;12;,;29;,;35;,;;9,978374597;,;118;,;h4g2z0w1e1,Ecolab - Hobart Washarm End Cap,Paquete,Oyope,gr,purus,82,3991,349839,12,29,35,9,978374597,118,
w1b6r3p0e7,Coffee - Ristretto Coffee Capsule,Canasta,Jamia,cm3,vivamus,83;;;;;;;,;;3584,606834;,;13;,;31;,;9;,;;8,961517084;,;169;,;w1b6r3p0e7,Coffee - Ristretto Coffee Capsule,Canasta,Jamia,cm3,vivamus,83,3584,606834,13,31,9,8,961517084,169,
o0i6u8q8b7,Vinegar - Tarragon,Paquete,Skyble,cm3,interdum,84;;;;;;;,;;32329,35906;,;2;,;10;,;47;,;;80,82339766;,;455;,;o0i6u8q8b7,Vinegar - Tarragon,Paquete,Skyble,cm3,interdum,84,32329,35906,2,10,47,80,82339766,455,
h1y7q4d3g6,Sausage - Blood Pudding,Botella,Ainyx,gr,aliquet maecenas,85;;;;;;;,;;33253,41945;,;22;,;50;,;1;,;;83,13354863;,;172;,;h1y7q4d3g6,Sausage - Blood Pudding,Botella,Ainyx,gr,aliquet maecenas,85,33253,41945,22,50,1,83,13354863,172,
