IDSUCURSAL,IDESTANTE,CAPACIDADVOLUMEN,CAPACIDADTOTALVOLUMEN,CAPACIDADPESO,CAPACIDADTOTALPESO,CATEGORIA,NIVELDEABASTECIMIENTO
106,106,79,100,111,165,533,23
107,107,170,190,164,167,198,91
108,108,328,329,8,18,626,95
109,109,34,59,312,321,484,90
110,110,46,49,350,383,608,11
111,111,297,332,368,413,211,61
112,112,312,322,97,102,816,48
113,113,321,324,199,220,922,55
114,114,260,325,237,311,813,16
115,115,219,292,392,420,317,19
116,116,34,52,70,143,864,80
117,117,190,208,108,114,859,83
118,118,10,60,49,56,305,17
119,119,29,43,200,218,385,91
120,120,397,421,303,332,199,95
121,121,398,429,106,111,463,85
122,122,372,373,284,287,248,45
123,123,227,245,229,253,933,24
124,124,61,66,64,77,913,13
125,125,45,47,10,26,21,55
126,126,44,48,288,306,605,30
127,127,8,50,220,257,714,44
128,128,33,101,99,111,223,60
129,129,260,263,368,371,871,25
130,130,156,199,349,404,65,37
131,131,174,183,261,281,267,94
132,132,290,338,280,320,271,16
133,133,351,392,33,52,212,86
134,134,296,312,136,193,727,9
135,135,64,125,385,387,153,60
136,136,349,404,276,347,413,63
137,137,250,263,82,101,495,32
138,138,282,290,281,310,78,20
139,139,350,384,162,179,951,89
140,140,84,86,139,226,753,82
141,141,128,144,131,155,500,52
142,142,332,374,227,231,463,54
143,143,279,288,377,402,572,84
144,144,357,398,187,247,741,5
145,145,305,317,142,162,176,45
146,146,136,193,204,254,203,73
147,147,172,173,120,152,254,98
148,148,326,356,213,222,791,35
149,149,225,243,358,369,584,44
150,150,14,14,243,262,228,23
151,151,56,79,392,431,674,20
152,152,117,122,132,143,522,62
153,153,145,174,11,50,368,48
154,154,365,394,186,188,799,59
155,155,338,394,187,205,896,91
156,156,43,60,76,102,861,64
157,157,251,269,267,267,27,43
158,158,306,347,245,313,211,69
159,159,291,327,220,272,634,84
160,160,392,478,261,274,311,5
161,161,149,176,378,396,936,73
162,162,398,403,65,90,173,86
163,163,46,52,50,74,214,48
164,164,63,99,30,97,101,72
165,165,354,405,92,93,640,91
166,166,125,130,195,287,325,17
167,167,46,68,213,241,603,99
168,168,23,96,329,349,444,58
169,169,235,236,323,347,533,8
170,170,375,383,368,416,923,19
171,171,140,176,127,136,592,76
172,172,224,226,177,194,249,77
173,173,53,76,271,310,224,1
174,174,352,353,163,229,220,87
175,175,263,286,21,72,13,44
176,176,279,299,4,7,142,20
177,177,327,338,69,76,504,94
178,178,43,51,316,322,381,29
179,179,360,387,177,177,734,84
180,180,323,326,74,79,276,2
181,181,46,94,140,190,434,4
182,182,358,365,369,393,429,97
183,183,192,233,41,42,707,82
184,184,184,234,203,234,674,53
185,185,38,39,76,86,985,40
186,186,93,108,117,168,314,13
187,187,240,297,144,174,681,38
188,188,77,83,268,281,313,35
189,189,119,189,224,254,395,46
190,190,397,426,14,27,845,85
191,191,88,143,150,186,6,98
192,192,249,250,24,35,251,97
193,193,283,303,347,391,438,82
194,194,207,209,214,280,678,77
195,195,237,265,206,250,21,36
196,196,117,117,252,264,25,8
197,197,25,110,114,132,50,85
198,198,98,107,15,29,961,0
199,199,28,68,94,159,286,74
200,200,175,189,67,136,856,93
201,201,214,216,398,432,282,67
202,202,336,370,216,259,57,91
203,203,39,64,304,327,248,34
204,204,214,227,200,209,261,66
205,205,85,96,308,311,528,18
206,206,66,68,331,356,673,91
207,207,243,260,278,317,272,28
208,208,75,85,361,376,197,99
209,209,94,97,70,135,378,33
210,210,145,172,40,82,382,66
211,211,279,297,310,349,276,85
212,212,290,294,346,347,200,62
213,213,253,256,131,220,416,24
214,214,219,267,338,341,876,57
215,215,179,254,16,68,278,84
216,216,287,300,105,110,353,68
217,217,394,431,318,356,383,92
218,218,1,6,228,294,697,77
219,219,133,151,276,340,378,91
220,220,311,331,193,207,465,79
221,221,309,365,335,376,108,52
222,222,91,92,175,177,871,91
223,223,342,347,337,415,91,10
224,224,343,363,48,68,586,3
225,225,12,17,186,187,906,1
226,226,324,360,323,382,681,84
227,227,143,169,129,139,733,62
228,228,307,327,282,290,286,42
229,229,45,89,313,337,699,94
230,230,91,136,298,298,701,40
231,231,309,320,73,75,877,75
232,232,224,224,61,128,993,44
233,233,4,29,265,265,478,93
234,234,114,130,1,23,736,98
235,235,24,51,362,387,734,80
236,236,126,130,235,239,527,38
237,237,286,289,117,121,836,98
238,238,389,427,77,123,405,60
239,239,375,376,92,94,87,13
240,240,51,115,162,217,165,38
241,241,107,148,217,239,385,86
242,242,101,119,7,28,883,65
243,243,325,352,294,318,287,84
244,244,55,59,354,400,54,24
245,245,18,78,117,141,713,1
246,246,380,425,24,28,123,29
247,247,194,210,355,400,560,30
248,248,342,349,362,368,321,55
249,249,239,256,364,364,442,30
250,250,44,73,9,70,329,86
251,251,45,85,369,384,920,42
252,252,35,86,292,292,572,18
253,253,61,114,372,443,670,24
254,254,209,236,244,266,345,82
255,255,245,245,71,102,228,26
256,256,27,38,366,435,865,6
257,257,46,58,296,356,278,64
258,258,353,385,137,147,740,36
259,259,176,209,45,114,599,68
260,260,390,448,157,189,458,89
261,261,375,397,256,261,548,69
262,262,27,33,104,113,574,25
263,263,218,235,227,279,67,93
264,264,284,334,160,171,185,13
265,265,167,172,175,228,25,45
266,266,321,383,180,188,970,88
267,267,21,41,57,58,301,95
268,268,89,134,197,206,963,94
269,269,296,316,391,393,619,15
270,270,93,119,291,331,614,78
271,271,389,393,344,365,981,65
272,272,362,368,388,457,360,74
273,273,360,371,339,350,761,76
274,274,249,308,93,135,847,40
275,275,62,81,276,282,137,48
276,276,338,348,326,352,77,20
277,277,128,130,289,331,15,48
278,278,239,287,228,233,36,76
279,279,80,140,144,161,770,44
280,280,252,266,31,38,304,77
281,281,243,255,140,189,825,75
282,282,96,140,345,379,890,19
283,283,177,219,3,3,369,93
284,284,388,438,193,257,187,28
285,285,65,76,384,426,789,75
286,286,156,175,357,383,132,62
287,287,174,239,12,34,725,32
288,288,145,164,122,136,608,18
289,289,153,203,296,337,148,32
290,290,282,282,141,174,177,51
291,291,189,215,67,99,871,79
292,292,83,92,79,121,796,77
293,293,323,324,218,279,224,98
294,294,388,391,105,174,898,95
295,295,170,176,191,210,699,80
296,296,41,43,318,387,982,86
297,297,11,43,216,242,983,38
298,298,391,405,381,404,658,25
299,299,113,119,336,338,296,70
300,300,304,322,329,346,278,44
301,301,38,56,201,201,795,81
302,302,8,10,381,418,812,56
303,303,140,237,57,61,833,31
304,304,47,48,93,118,471,35
305,305,385,394,291,323,891,62
306,306,195,203,36,89,373,46
307,307,156,173,48,68,829,95
308,308,376,397,316,319,199,17
309,309,193,214,58,134,662,25
310,310,340,374,50,67,451,26
311,311,398,421,246,294,11,70
312,312,71,113,96,103,894,0
313,313,259,272,196,201,366,86
314,314,340,350,353,373,513,23
315,315,246,271,233,249,695,15
316,316,341,396,346,368,480,40
317,317,83,139,167,227,516,31
318,318,186,199,199,232,281,86
319,319,79,79,77,78,481,64
320,320,108,160,249,266,888,81
321,321,361,361,188,189,590,49
322,322,273,294,120,121,549,19
323,323,399,403,212,282,304,4
324,324,280,335,81,91,222,62
325,325,174,180,184,188,579,68
326,326,225,262,216,295,545,38
327,327,345,397,240,263,477,2
328,328,203,275,203,236,319,64
329,329,356,365,317,401,469,26
330,330,122,129,395,476,1,49
331,331,238,284,54,113,397,68
332,332,288,324,90,94,726,40
333,333,359,387,44,59,801,99
334,334,384,392,151,188,330,30
335,335,285,297,71,81,627,10
336,336,6,22,54,57,814,79
337,337,177,178,159,233,756,28
338,338,37,40,97,127,438,92
339,339,104,111,361,380,43,84
340,340,329,331,249,309,825,31
341,341,222,271,263,309,713,61
342,342,41,91,138,157,929,16
343,343,10,24,290,364,526,27
344,344,116,155,106,108,638,44
345,345,163,170,186,245,699,10
346,346,87,93,105,174,534,95
347,347,261,262,340,346,229,40
348,348,155,181,239,253,838,61
349,349,74,75,15,84,614,30
350,350,333,358,296,305,138,45
351,351,43,53,54,54,947,98
352,352,208,219,112,124,556,40
353,353,1,50,385,413,323,25
354,354,345,346,148,150,9,76
355,355,300,349,2,2,170,19
356,356,58,72,56,76,619,81
357,357,123,132,68,105,344,45
358,358,164,208,181,185,527,9
359,359,307,315,388,403,566,38
360,360,31,88,90,93,383,78
361,361,338,362,274,323,967,80
362,362,232,234,292,307,191,47
363,363,328,338,4,34,239,76
364,364,77,90,206,210,329,36
365,365,59,110,111,164,338,51
366,366,376,393,9,39,600,89
367,367,39,44,363,385,852,17
368,368,379,411,139,188,998,69
369,369,77,103,260,274,127,2
370,370,239,263,96,170,55,99
371,371,328,337,30,101,182,2
372,372,100,124,231,232,271,66
373,373,320,320,126,132,382,68
374,374,246,322,61,101,764,84
375,375,356,380,99,126,960,99
376,376,248,259,244,262,442,80
377,377,35,37,15,18,257,15
378,378,395,465,194,231,69,47
379,379,229,267,228,229,45,93
380,380,286,343,22,34,49,72
381,381,323,392,361,368,922,89
382,382,297,298,375,379,41,61
383,383,379,392,138,173,553,89
384,384,286,288,344,344,11,100
385,385,178,214,393,403,594,84
386,386,392,401,46,48,769,79
387,387,369,438,86,86,389,74
388,388,257,271,345,383,21,33
389,389,323,333,288,341,750,16
390,390,26,74,17,35,20,66
391,391,204,210,199,264,529,53
392,392,115,137,171,172,116,21
393,393,143,217,202,276,110,52
394,394,398,402,142,223,409,91
395,395,30,119,396,400,577,25
396,396,291,372,382,474,881,25
397,397,130,163,120,211,271,72
398,398,194,242,133,141,12,3
399,399,103,122,138,172,643,39
400,400,9,9,250,250,913,1
401,401,291,338,222,268,939,56
402,402,356,391,136,160,551,64
403,403,322,330,66,120,103,28
404,404,26,57,115,167,356,87
405,405,112,150,377,413,995,26
406,406,317,318,29,52,628,97
407,407,316,401,176,226,880,89
408,408,240,242,292,324,44,2
409,409,175,178,163,225,731,3
410,410,276,280,188,193,965,71
411,411,148,182,213,219,653,42
412,412,131,133,63,71,999,44
413,413,178,223,375,402,404,84
414,414,352,353,302,325,355,46
415,415,287,295,46,136,986,55
416,416,269,321,12,20,844,39
417,417,321,333,25,61,936,70
418,418,24,26,281,282,825,99
419,419,1,62,121,122,165,84
420,420,225,235,29,96,276,64
421,421,272,291,173,220,950,67
422,422,150,221,39,40,307,26
423,423,226,228,170,194,218,82
424,424,328,348,355,358,809,85
425,425,236,269,44,63,536,6
426,426,75,94,336,352,309,80
427,427,146,153,91,112,705,60
428,428,383,398,123,125,785,64
429,429,101,118,193,267,653,46
430,430,66,73,18,19,853,51
431,431,112,129,39,73,574,69
432,432,213,225,108,117,653,49
433,433,287,310,148,217,837,63
434,434,351,351,272,286,766,96
435,435,176,220,335,394,231,34
436,436,311,369,207,291,544,57
437,437,349,350,275,370,858,95
438,438,397,410,14,72,687,33
439,439,185,192,156,183,659,12
440,440,348,350,300,366,710,93
441,441,95,119,117,148,417,15
442,442,47,75,126,144,163,2
443,443,343,345,61,92,139,60
444,444,237,266,163,234,927,78
445,445,153,169,394,397,87,70
446,446,158,192,312,369,25,79
447,447,43,47,231,262,93,23
448,448,388,400,364,378,417,39
449,449,219,220,306,315,113,41
450,450,382,385,169,193,980,63
451,451,1,11,310,367,929,20
452,452,31,57,8,12,145,70
453,453,250,253,271,316,204,6
454,454,30,96,20,24,732,6
455,455,203,296,183,201,206,0
456,456,350,370,86,118,425,75
457,457,183,186,255,273,828,92
458,458,257,315,372,432,672,99
459,459,351,355,369,388,444,100
460,460,287,288,24,26,638,46
461,461,163,169,143,163,491,15
462,462,148,187,380,401,743,57
463,463,178,199,313,353,506,31
464,464,305,360,268,307,423,39
465,465,195,267,16,59,505,83
466,466,124,132,246,303,477,60
467,467,300,301,104,105,924,20
468,468,17,17,219,299,223,94
469,469,190,238,150,159,463,89
470,470,142,155,54,63,693,25
471,471,61,95,198,213,971,33
472,472,378,383,66,81,914,43
473,473,307,316,26,46,557,5
474,474,11,86,84,139,677,61
475,475,94,133,341,348,265,61
476,476,227,244,58,114,371,35
477,477,60,81,267,267,886,18
478,478,142,144,287,296,473,1
479,479,132,152,333,338,939,41
480,480,71,71,259,269,842,64
481,481,143,160,40,75,335,27
482,482,41,60,184,185,149,11
483,483,184,192,241,248,397,66
484,484,172,173,6,27,120,1
485,485,168,253,249,306,909,21
486,486,205,254,305,320,709,81
487,487,67,74,250,258,433,20
488,488,59,72,249,254,274,78
489,489,69,79,393,449,806,57
490,490,84,91,183,193,1,99
491,491,66,76,59,92,345,32
492,492,126,130,167,222,160,83
493,493,218,218,287,312,794,79
494,494,164,189,334,390,123,33
495,495,124,138,240,248,666,62
496,496,63,125,242,249,657,37
497,497,272,274,321,338,640,37
498,498,114,116,33,84,119,25
499,499,18,83,160,170,310,45
500,500,143,146,228,234,760,94
501,501,65,118,80,95,380,7
502,502,217,296,7,10,579,41
503,503,92,133,359,362,913,76
504,504,56,80,18,55,297,68
505,505,56,69,15,33,982,68
506,506,101,161,261,262,511,7
507,507,263,271,55,114,213,67
508,508,199,221,51,91,631,9
509,509,306,320,242,268,27,42
510,510,357,401,245,247,25,59
511,511,328,347,74,106,820,84
512,512,57,95,305,321,179,36
513,513,226,248,75,87,740,1
514,514,109,124,57,60,478,94
515,515,44,101,217,221,701,24
516,516,140,161,110,139,906,58
517,517,6,10,314,314,174,40
518,518,83,87,232,247,458,42
519,519,279,361,321,340,63,57
520,520,238,265,240,247,984,54
521,521,322,325,196,197,266,66
522,522,132,181,3,6,907,24
523,523,390,427,109,125,774,8
524,524,132,138,194,220,951,28
525,525,397,397,234,284,245,44
526,526,58,102,55,131,178,73
527,527,170,190,377,406,520,52
528,528,385,417,391,435,866,15
529,529,39,41,357,369,303,40
530,530,41,46,395,447,554,59
531,531,332,343,354,380,892,65
532,532,65,157,152,153,625,20
533,533,160,184,381,418,60,57
534,534,271,299,64,76,213,61
535,535,186,189,210,231,857,46
536,536,325,329,18,26,939,28
537,537,212,216,43,101,755,54
538,538,385,397,358,394,156,31
539,539,235,296,234,260,787,16
540,540,380,397,188,199,224,77
541,541,74,95,93,97,643,8
542,542,400,452,207,220,347,49
543,543,49,74,17,58,294,90
544,544,12,19,139,155,863,26
545,545,61,102,153,154,295,76
546,546,5,37,265,265,886,33
547,547,152,155,191,194,326,3
548,548,320,335,347,403,532,57
549,549,181,183,162,170,374,67
550,550,225,239,96,152,796,47
551,551,251,286,86,88,225,34
552,552,16,42,14,32,320,76
553,553,291,296,322,366,772,56
554,554,266,269,254,267,9,81
555,555,56,121,170,181,347,9
556,556,289,342,358,384,730,65
557,557,253,259,382,428,563,82
558,558,383,398,38,49,878,88
559,559,204,222,256,268,923,85
560,560,47,98,309,338,567,61
561,561,154,158,369,375,784,13
562,562,103,104,245,299,669,19
563,563,400,402,26,63,557,78
564,564,307,319,287,287,160,59
565,565,221,292,253,339,349,99
566,566,181,196,39,70,538,58
567,567,340,429,154,157,368,25
568,568,12,64,395,420,809,80
569,569,199,222,18,32,661,6
570,570,204,213,25,86,110,41
571,571,391,411,391,429,455,5
572,572,327,382,113,209,410,91
573,573,365,389,368,370,601,14
574,574,269,289,61,95,402,22
575,575,212,288,190,191,220,18
576,576,33,52,161,164,954,93
577,577,72,136,393,407,691,69
578,578,165,185,353,400,969,67
579,579,349,400,200,250,96,15
580,580,12,34,336,337,827,69
581,581,151,154,309,309,100,75
582,582,397,414,21,55,862,27
583,583,107,115,150,189,27,39
584,584,299,321,292,321,342,81
585,585,121,125,382,413,117,15
586,586,87,118,257,279,190,83
587,587,286,293,347,407,701,19
588,588,53,71,300,327,500,92
589,589,112,112,360,360,491,20
590,590,321,330,336,372,714,61
591,591,37,40,48,62,832,21
592,592,191,234,397,455,885,22
593,593,383,428,67,99,367,23
594,594,9,20,232,235,443,3
595,595,108,156,367,381,502,80
596,596,117,133,385,386,429,93
597,597,288,290,155,178,163,84
598,598,174,201,161,179,45,29
599,599,395,443,98,100,725,71
600,600,79,117,397,403,217,72
601,601,234,244,111,184,598,1
602,602,287,290,186,197,545,96
603,603,187,257,183,186,703,58
604,604,60,115,284,306,383,54
605,605,211,244,268,274,474,30
606,606,56,110,324,337,596,57
607,607,12,16,50,57,792,82
608,608,318,345,121,156,284,56
609,609,364,382,12,13,29,25
610,610,52,75,289,289,145,20
611,611,54,80,394,482,125,82
612,612,17,22,130,175,104,94
613,613,199,205,373,451,170,62
614,614,227,234,397,404,721,22
615,615,186,204,208,222,678,85
616,616,333,354,392,412,912,74
617,617,269,317,332,341,296,54
618,618,231,266,364,376,957,13
619,619,358,369,64,89,888,53
620,620,132,137,122,126,349,100
621,621,211,291,65,139,149,97
622,622,2,6,109,151,127,80
623,623,192,222,15,28,773,97
624,624,31,66,337,381,87,80
625,625,73,79,86,101,208,42
626,626,345,373,13,30,91,66
627,627,390,440,44,103,353,27
628,628,400,402,384,393,877,88
629,629,239,273,107,151,167,99
630,630,315,322,124,172,432,98
631,631,115,131,94,116,807,83
632,632,335,337,284,333,730,78
633,633,9,27,143,214,961,42
634,634,339,403,263,303,400,17
635,635,55,94,168,186,338,4
636,636,360,394,382,406,293,5
637,637,254,278,139,150,649,66
638,638,389,389,326,350,490,100
639,639,72,141,22,85,196,52
640,640,50,91,2,3,382,53
641,641,20,42,263,269,539,12
642,642,359,367,268,269,581,60
643,643,173,213,177,199,516,82
644,644,340,343,344,351,249,14
645,645,19,35,379,383,444,98
646,646,195,258,276,280,300,58
647,647,143,167,341,432,576,91
648,648,214,217,356,397,331,79
649,649,303,346,156,170,858,35
650,650,3,3,212,249,86,2
651,651,234,268,338,354,297,9
652,652,297,335,216,252,816,80
653,653,202,236,166,216,384,61
654,654,320,323,219,239,991,45
655,655,37,42,308,317,150,98
656,656,12,22,268,286,227,99
657,657,245,281,393,395,28,79
658,658,342,346,172,173,532,91
659,659,44,105,51,63,439,75
660,660,120,131,353,382,579,28
661,661,224,257,386,397,652,61
662,662,394,403,393,463,537,10
663,663,311,311,224,227,661,1
664,664,113,135,53,61,584,50
665,665,374,401,274,277,331,98
666,666,288,337,288,323,89,2
667,667,200,203,250,253,834,86
668,668,104,133,158,166,424,50
669,669,109,110,172,183,214,58
670,670,284,318,35,70,346,76
671,671,193,202,162,227,742,54
672,672,215,217,381,401,484,68
673,673,105,107,96,104,184,54
674,674,157,177,14,53,536,99
675,675,175,224,388,393,581,9
676,676,36,47,51,83,709,13
677,677,6,13,320,323,893,39
678,678,337,354,305,308,619,40
679,679,369,374,363,397,285,84
680,680,374,389,306,314,288,4
681,681,48,72,264,322,183,1
682,682,208,211,91,130,376,29
683,683,211,213,364,378,177,41
684,684,250,262,109,110,584,26
685,685,94,100,182,210,487,94
686,686,3,6,68,128,781,28
687,687,60,61,146,233,712,66
688,688,337,374,156,167,898,46
689,689,269,319,314,349,604,12
690,690,381,429,380,420,555,16
691,691,314,369,14,72,489,61
692,692,271,283,255,304,411,39
693,693,291,372,210,223,542,78
694,694,118,154,108,162,174,93
695,695,382,435,17,19,564,23
696,696,275,278,77,136,255,28
697,697,87,136,153,156,831,12
698,698,104,115,30,98,514,55
699,699,105,131,307,361,340,70
700,700,220,267,249,332,290,58
701,701,116,118,199,202,292,77
702,702,153,156,234,235,923,5
703,703,97,121,394,407,941,75
704,704,307,316,274,328,121,25
705,705,61,68,127,130,557,83
706,706,358,395,346,406,590,65
707,707,361,393,145,153,806,26
708,708,328,396,256,314,635,31
709,709,296,310,269,277,582,13
710,710,167,206,382,398,56,13
711,711,383,394,289,291,344,34
712,712,129,174,196,214,959,29
713,713,89,158,273,294,283,9
714,714,329,329,273,283,634,52
715,715,240,245,359,418,649,98
716,716,354,404,209,217,568,85
717,717,93,104,133,137,942,91
718,718,158,191,77,81,241,1
719,719,287,313,18,59,407,45
720,720,389,452,244,252,628,24
721,721,130,169,322,380,598,67
722,722,184,202,24,81,281,27
723,723,147,152,190,200,573,17
724,724,47,109,30,86,824,72
725,725,400,407,42,56,936,34
726,726,252,252,370,410,800,65
727,727,236,255,211,252,391,29
728,728,15,72,111,112,660,63
729,729,359,428,209,247,112,79
730,730,28,51,191,202,174,66
731,731,351,353,327,375,802,97
732,732,173,217,355,378,874,91
733,733,325,364,329,347,203,16
734,734,56,56,368,372,128,54
735,735,152,185,176,221,535,62
736,736,186,191,294,295,814,82
737,737,332,342,324,341,306,75
738,738,71,101,288,289,711,83
739,739,300,353,74,102,317,5
740,740,282,283,152,155,949,57
741,741,276,295,291,338,325,74
742,742,208,237,278,336,293,88
743,743,195,198,154,172,390,78
744,744,241,297,21,31,161,26
745,745,104,107,354,357,360,84
746,746,317,318,292,328,128,11
747,747,23,45,2,47,678,74
748,748,20,25,178,215,894,84
749,749,97,143,298,331,700,41
750,750,355,377,3,8,477,41
751,751,130,135,157,222,500,6
752,752,56,66,347,421,102,7
753,753,294,349,316,318,991,83
754,754,130,159,397,440,145,11
755,755,100,100,324,338,838,68
756,756,180,217,60,95,466,47
757,757,154,166,301,305,906,64
758,758,321,402,17,59,964,5
759,759,288,347,37,57,375,31
760,760,69,75,229,302,315,36
761,761,121,211,303,303,195,47
762,762,311,324,45,65,189,58
763,763,155,183,372,396,182,9
764,764,362,364,215,221,955,71
765,765,386,389,162,184,844,53
766,766,135,148,156,157,540,88
767,767,61,66,198,205,746,52
768,768,354,407,6,16,611,17
769,769,308,377,387,387,427,55
770,770,242,312,1,74,931,27
771,771,336,368,238,241,338,88
772,772,84,92,300,337,775,14
773,773,124,149,148,164,277,66
774,774,50,88,132,167,978,46
775,775,315,357,84,125,401,28
776,776,175,183,254,324,221,52
777,777,156,158,219,242,370,28
778,778,142,207,59,70,226,27
779,779,29,42,246,276,661,61
780,780,383,385,378,378,353,24
781,781,182,239,399,447,406,77
782,782,16,85,201,208,222,2
783,783,353,381,392,397,665,23
784,784,19,32,176,196,458,81
785,785,329,372,273,294,37,24
786,786,264,265,9,14,272,46
787,787,231,250,88,111,476,76
788,788,138,150,254,280,901,17
789,789,230,288,343,387,353,45
790,790,262,269,123,123,63,41
791,791,171,178,218,244,827,81
792,792,68,78,87,161,453,97
793,793,107,190,82,99,38,4
794,794,353,410,237,238,487,22
795,795,112,146,359,384,948,46
796,796,87,152,178,203,158,30
797,797,54,104,359,366,940,34
798,798,378,409,361,383,185,74
799,799,69,92,21,25,286,52
800,800,140,148,6,19,71,12
801,801,102,117,314,348,704,69
802,802,174,188,236,278,988,31
803,803,301,334,235,241,822,11
804,804,354,385,356,378,969,28
805,805,11,45,374,386,565,46
806,806,103,108,227,279,469,4
807,807,47,54,47,106,521,43
808,808,353,419,374,424,706,92
809,809,394,417,182,214,338,82
810,810,23,78,285,318,215,33
811,811,376,395,131,158,542,89
812,812,191,196,275,366,81,25
813,813,397,448,238,261,955,53
814,814,72,75,284,309,509,94
815,815,206,220,93,175,87,70
816,816,242,270,7,10,704,52
817,817,238,309,32,62,201,30
818,818,301,327,318,327,118,72
819,819,381,390,195,197,312,62
820,820,17,30,128,136,760,29
821,821,268,339,366,384,675,11
822,822,72,143,78,103,999,84
823,823,73,82,122,124,237,87
824,824,389,407,38,44,525,66
825,825,170,226,155,203,119,40
826,826,11,44,75,80,27,14
827,827,353,373,287,294,224,69
828,828,90,100,98,121,880,69
829,829,31,98,46,67,862,7
830,830,60,156,7,38,608,73
831,831,268,304,215,215,158,0
832,832,58,69,171,215,609,66
833,833,278,293,327,341,71,69
834,834,371,422,161,188,329,23
835,835,348,365,324,344,435,21
836,836,12,23,353,353,561,30
837,837,204,231,53,57,454,63
838,838,119,129,271,275,169,69
839,839,370,370,38,40,161,54
840,840,22,78,278,305,589,32
841,841,27,27,113,153,909,37
842,842,113,184,64,151,231,39
843,843,36,58,345,412,977,51
844,844,374,403,276,322,584,21
845,845,41,41,360,373,781,10
846,846,236,261,110,132,388,79
847,847,289,325,324,346,810,20
848,848,90,100,168,181,624,56
849,849,201,206,123,166,680,23
850,850,148,175,50,84,227,24
851,851,56,90,127,132,218,14
852,852,261,301,23,28,731,15
853,853,275,328,37,67,444,34
854,854,278,316,67,144,650,69
855,855,356,413,384,443,528,70
856,856,369,403,264,311,241,51
857,857,351,384,56,85,158,85
858,858,286,321,299,304,406,35
859,859,220,256,170,205,143,64
860,860,106,125,331,379,68,2
861,861,71,101,399,421,997,32
862,862,298,372,289,296,521,14
