IDSUCURSAL,IDBODEGA,CAPACIDADVOLUMEN,CAPACIDADTOTALVOLUMEN,CAPACIDADPESO,CAPACIDADTOTALPESO,CATEGORIA
95,95,247,248,70,72,155
96,96,13,33,260,261,732
97,97,66,75,192,214,199
98,98,204,240,343,343,786
99,99,238,260,233,271,540
100,100,330,366,92,98,453
101,101,392,425,89,132,302
102,102,99,107,343,349,111
103,103,58,73,192,219,203
104,104,83,84,353,438,867
105,105,375,375,281,304,447
106,106,124,132,294,295,804
107,107,140,142,127,155,793
108,108,377,411,172,193,110
109,109,101,165,140,158,38
110,110,275,292,139,143,243
111,111,1,3,349,424,165
112,112,264,315,310,342,562
113,113,152,152,102,107,341
114,114,366,404,181,240,885
115,115,43,43,288,364,916
116,116,282,288,355,357,928
117,117,237,258,391,468,922
118,118,230,251,68,73,77
119,119,158,166,3,10,709
120,120,246,260,196,236,804
121,121,386,444,267,273,232
122,122,332,340,210,239,799
123,123,307,321,151,184,738
124,124,292,364,93,130,370
125,125,236,269,299,347,465
126,126,339,359,243,272,694
127,127,378,399,234,276,771
128,128,182,222,349,407,878
129,129,390,429,38,65,665
130,130,158,165,369,380,569
131,131,297,317,376,382,439
132,132,245,259,44,47,815
133,133,147,150,72,92,413
134,134,336,391,355,361,156
135,135,184,220,258,289,933
136,136,174,228,121,161,233
137,137,299,364,280,308,183
138,138,232,235,375,398,439
139,139,328,331,229,262,14
140,140,143,148,285,309,880
141,141,226,248,101,120,442
142,142,94,118,335,340,119
143,143,213,280,381,415,940
144,144,134,155,361,419,521
145,145,293,333,364,366,204
146,146,141,145,10,40,540
147,147,330,334,35,58,725
148,148,163,174,225,245,883
149,149,87,89,176,191,989
150,150,4,16,192,217,535
151,151,387,416,32,62,933
152,152,251,278,155,179,614
153,153,329,343,250,252,635
154,154,330,337,256,294,79
155,155,60,66,226,276,929
156,156,116,123,315,325,684
157,157,68,72,372,373,372
158,158,61,75,207,221,772
159,159,225,251,392,425,44
160,160,240,259,110,169,539
161,161,268,284,264,282,667
162,162,319,381,89,100,848
163,163,387,389,46,107,533
164,164,218,220,391,431,192
165,165,16,61,224,265,945
166,166,338,373,129,186,847
167,167,20,33,216,221,727
168,168,62,100,114,186,34
169,169,352,378,260,271,695
170,170,302,304,215,236,154
171,171,200,214,154,154,591
172,172,60,66,113,117,773
173,173,75,75,327,373,476
174,174,274,315,210,255,124
175,175,182,187,15,48,588
176,176,111,182,200,227,518
177,177,240,307,29,42,513
178,178,14,27,72,112,174
179,179,264,282,344,360,232
180,180,346,404,20,30,185
181,181,18,20,7,73,356
182,182,119,149,138,150,607
183,183,246,275,200,207,419
184,184,174,202,136,187,751
185,185,112,173,268,308,876
186,186,288,289,105,105,672
187,187,262,291,344,416,960
188,188,37,39,154,165,543
189,189,285,328,72,80,257
190,190,372,452,57,58,47
191,191,83,106,347,348,866
192,192,231,233,372,381,258
193,193,399,412,305,313,38
194,194,29,37,355,361,234
195,195,301,345,92,125,665
196,196,386,388,292,294,367
197,197,68,93,282,310,130
198,198,116,138,2,3,168
199,199,285,305,92,93,835
200,200,184,274,71,89,901
201,201,19,81,218,274,929
202,202,131,143,139,157,999
203,203,222,242,230,321,627
204,204,110,138,204,269,132
205,205,363,401,265,275,284
206,206,77,82,314,345,412
207,207,305,353,245,253,886
208,208,59,65,82,117,15
209,209,41,51,376,420,482
210,210,357,389,331,333,577
211,211,358,418,221,266,489
212,212,95,99,324,395,620
213,213,52,54,373,381,148
214,214,200,241,324,328,705
215,215,183,201,152,180,382
216,216,238,244,180,185,334
217,217,264,273,5,5,9
218,218,80,87,3,10,829
219,219,245,293,274,284,793
220,220,93,122,67,76,365
221,221,357,359,120,139,560
222,222,225,289,152,164,25
223,223,113,123,324,334,782
224,224,170,170,393,406,82
225,225,226,230,126,159,84
226,226,58,70,350,363,70
227,227,289,310,254,259,239
228,228,342,353,12,17,678
229,229,93,101,261,266,909
230,230,34,63,386,386,999
231,231,160,172,341,343,914
232,232,207,214,324,392,33
233,233,146,159,391,392,194
234,234,38,78,94,147,96
235,235,45,63,310,369,302
236,236,256,256,93,96,752
237,237,192,211,275,306,216
238,238,114,120,185,248,153
239,239,384,393,171,182,479
240,240,53,67,343,376,183
241,241,227,250,217,227,362
242,242,247,270,351,363,817
243,243,365,393,166,195,666
244,244,103,105,300,303,969
245,245,369,388,98,156,555
246,246,370,434,224,231,319
247,247,105,141,177,184,230
248,248,334,407,147,150,103
249,249,80,81,143,164,851
250,250,290,336,80,82,273
251,251,86,105,221,240,695
252,252,307,312,387,407,130
253,253,43,57,26,28,695
254,254,319,377,363,376,704
255,255,57,123,148,154,360
256,256,138,148,145,146,571
257,257,133,151,242,255,631
258,258,324,353,271,296,586
259,259,90,118,283,335,654
260,260,240,265,42,46,67
261,261,372,372,392,416,540
262,262,243,243,362,390,606
263,263,17,66,161,161,561
264,264,235,291,400,412,719
265,265,303,303,255,333,84
266,266,105,139,126,154,408
267,267,390,396,396,439,237
268,268,78,81,229,249,707
269,269,301,337,232,237,98
270,270,234,235,371,438,649
271,271,141,170,165,180,215
272,272,217,227,120,172,506
273,273,232,248,180,194,488
274,274,144,156,323,340,453
275,275,328,340,66,78,960
276,276,166,183,242,255,982
277,277,230,234,247,269,564
278,278,122,188,381,408,700
279,279,329,365,218,226,811
280,280,57,87,128,129,638
281,281,8,12,264,338,255
282,282,336,371,215,270,115
283,283,213,249,104,107,573
284,284,190,206,195,245,588
285,285,210,239,71,74,635
286,286,181,185,204,232,670
287,287,309,314,282,290,857
288,288,314,317,215,231,867
289,289,337,340,124,131,827
290,290,109,113,379,426,503
291,291,146,147,219,243,219
292,292,262,269,320,365,914
293,293,274,290,269,295,297
294,294,318,385,127,134,741
295,295,380,401,214,216,337
296,296,297,339,342,378,587
297,297,259,328,268,271,278
298,298,219,242,146,179,13
299,299,85,118,207,211,713
300,300,116,131,316,384,302
301,301,209,233,75,85,80
302,302,150,160,111,140,973
303,303,52,114,141,142,454
304,304,399,413,118,146,220
305,305,221,233,229,241,835
306,306,382,408,30,39,30
307,307,205,206,209,244,330
308,308,272,278,194,197,686
309,309,251,253,375,406,631
310,310,167,182,28,52,514
311,311,223,244,78,95,907
312,312,119,119,219,312,277
313,313,279,297,166,186,270
314,314,206,265,303,305,395
315,315,325,400,365,415,377
316,316,57,101,147,154,167
317,317,44,82,256,299,248
318,318,4,6,314,337,121
319,319,101,104,377,390,931
320,320,21,29,192,202,748
321,321,334,386,71,148,637
322,322,281,281,18,49,919
323,323,386,426,50,83,47
324,324,20,34,106,113,358
325,325,161,178,250,271,645
326,326,381,391,329,332,142
327,327,210,236,199,205,403
328,328,65,74,362,380,237
329,329,365,421,191,220,328
330,330,267,311,241,276,265
331,331,225,234,256,282,124
332,332,205,216,290,365,665
333,333,323,325,206,243,71
334,334,290,294,371,375,8
335,335,306,313,356,373,267
336,336,116,124,247,264,544
337,337,180,206,381,388,505
338,338,333,383,258,262,616
339,339,252,262,398,432,619
340,340,17,36,161,226,151
341,341,104,114,333,425,235
342,342,363,404,189,217,283
343,343,279,284,42,78,11
344,344,147,153,219,228,456
345,345,365,367,72,128,117
346,346,374,407,400,418,129
347,347,283,298,204,204,887
348,348,118,120,343,351,900
349,349,66,90,311,311,592
350,350,180,215,249,294,155
351,351,15,61,362,367,338
352,352,166,198,313,316,482
353,353,3,4,354,354,709
354,354,384,412,345,405,429
355,355,127,170,163,180,441
356,356,220,266,109,112,317
357,357,209,251,128,158,415
358,358,10,21,196,197,690
359,359,134,150,57,104,505
360,360,390,401,233,242,976
361,361,150,162,394,417,139
362,362,214,280,62,65,171
363,363,67,102,221,238,961
364,364,387,394,381,395,929
365,365,105,112,361,395,144
366,366,370,395,157,203,507
367,367,63,128,318,349,619
368,368,229,308,308,311,763
369,369,108,128,186,198,531
370,370,163,184,229,230,196
371,371,318,384,249,256,148
372,372,236,314,64,66,903
373,373,22,51,396,397,299
374,374,256,256,140,153,868
375,375,45,50,213,254,607
376,376,72,112,99,128,50
377,377,160,161,222,227,243
378,378,341,397,301,307,590
379,379,142,151,241,241,504
380,380,112,114,240,301,526
381,381,341,398,371,380,280
382,382,57,57,6,7,838
383,383,248,303,27,72,970
384,384,326,338,3,86,368
385,385,77,85,59,71,840
386,386,340,410,60,62,103
387,387,163,166,128,138,760
388,388,203,218,82,82,840
389,389,339,340,119,146,555
390,390,254,268,176,225,14
391,391,170,244,311,313,956
392,392,268,287,142,157,247
393,393,342,355,7,35,955
394,394,24,24,397,398,261
395,395,78,104,144,204,901
396,396,268,269,377,389,58
397,397,203,230,201,218,696
398,398,91,122,360,431,565
399,399,245,273,307,335,962
400,400,46,52,123,146,754
401,401,201,265,283,307,827
402,402,94,97,4,16,662
403,403,219,264,303,315,542
404,404,69,101,229,239,203
405,405,343,399,372,392,789
406,406,99,102,197,210,967
407,407,235,262,123,184,362
408,408,164,179,267,301,804
409,409,271,319,98,107,192
410,410,46,51,252,307,753
411,411,314,318,330,361,487
412,412,148,212,64,65,226
413,413,359,362,199,219,609
414,414,30,52,318,340,265
415,415,3,6,123,167,751
416,416,14,70,11,76,174
417,417,233,257,306,308,501
418,418,87,101,154,177,745
419,419,366,366,205,206,141
420,420,29,47,362,402,213
421,421,135,140,291,308,950
422,422,393,446,60,132,147
423,423,6,13,112,182,690
424,424,135,153,390,402,197
425,425,167,168,167,167,859
426,426,222,249,225,277,230
427,427,372,380,288,307,850
428,428,346,390,245,247,326
429,429,276,308,294,330,602
430,430,102,145,165,171,236
431,431,249,295,101,126,103
432,432,195,217,210,239,28
433,433,39,47,348,351,498
434,434,327,336,239,269,944
435,435,233,278,210,234,635
436,436,12,19,370,376,587
437,437,74,92,9,91,408
438,438,157,164,170,180,977
439,439,277,313,359,363,734
440,440,258,272,137,149,613
441,441,383,390,129,129,487
442,442,128,181,31,69,509
443,443,305,350,73,115,559
444,444,74,156,223,257,672
445,445,98,168,263,281,132
446,446,255,257,108,135,538
447,447,371,394,363,374,294
448,448,47,65,133,134,382
449,449,22,55,237,267,593
450,450,143,162,170,199,177
451,451,393,413,399,448,347
452,452,63,90,283,288,20
453,453,38,80,254,324,357
454,454,86,91,125,129,70
455,455,332,340,246,307,982
456,456,333,337,51,72,599
457,457,293,309,318,318,310
458,458,3,14,37,53,870
459,459,87,116,12,36,748
460,460,109,160,303,306,105
461,461,285,344,380,429,462
462,462,239,297,323,336,548
463,463,105,118,398,459,385
464,464,45,47,316,348,526
465,465,359,391,390,413,63
466,466,104,110,345,380,697
467,467,120,122,278,289,24
468,468,69,104,385,420,158
469,469,140,162,102,124,212
470,470,77,107,118,171,166
471,471,59,65,103,130,925
472,472,364,383,343,395,218
473,473,82,93,46,68,295
474,474,32,70,271,293,446
475,475,268,291,213,246,793
476,476,121,147,130,132,632
477,477,182,227,248,255,386
478,478,83,124,380,384,700
479,479,221,250,85,96,458
480,480,57,87,32,59,17
481,481,22,65,7,33,303
482,482,322,324,261,267,909
483,483,265,290,176,177,202
484,484,51,53,311,313,953
485,485,110,126,100,114,685
486,486,40,84,386,427,607
487,487,3,70,47,52,631
488,488,51,128,288,377,13
489,489,130,136,391,393,301
490,490,217,221,362,408,961
491,491,363,393,331,334,157
492,492,32,73,17,34,283
493,493,139,140,207,230,459
494,494,300,382,81,128,540
495,495,340,398,311,325,400
496,496,93,112,274,348,882
497,497,191,207,20,37,125
498,498,81,91,339,340,209
499,499,398,406,6,11,442
500,500,320,340,343,367,265
501,501,368,426,318,330,990
502,502,149,163,47,69,82
503,503,318,329,385,396,653
504,504,344,347,216,233,665
505,505,69,74,277,301,552
506,506,374,413,95,121,153
507,507,93,96,32,32,294
508,508,89,115,131,137,683
509,509,229,252,152,167,898
510,510,152,154,156,162,9
511,511,392,415,378,408,343
512,512,28,32,373,376,922
513,513,36,67,51,58,646
514,514,223,303,239,246,306
515,515,114,119,69,85,117
516,516,82,159,270,283,606
517,517,396,443,278,287,27
518,518,130,173,31,33,655
519,519,82,135,100,130,98
520,520,369,369,165,222,307
521,521,327,353,30,41,121
522,522,188,232,354,434,443
523,523,222,245,284,293,326
524,524,36,56,386,386,855
525,525,390,418,367,403,384
526,526,186,211,380,381,783
527,527,234,237,379,397,365
528,528,61,118,359,366,497
529,529,78,85,263,264,892
530,530,307,311,42,89,393
531,531,362,364,142,157,406
532,532,83,128,63,88,594
533,533,144,194,224,267,672
534,534,85,91,355,373,13
535,535,278,343,126,156,780
536,536,141,142,350,370,915
537,537,2,10,199,205,390
538,538,93,127,170,175,632
539,539,323,325,257,279,861
540,540,62,84,383,395,312
541,541,130,140,241,282,490
542,542,124,148,264,279,381
543,543,49,99,303,316,418
544,544,394,430,31,50,31
545,545,369,432,245,263,542
546,546,250,294,360,390,979
547,547,153,176,124,181,841
548,548,71,81,268,287,425
549,549,300,302,292,328,14
550,550,86,98,9,79,330
551,551,6,74,270,284,153
552,552,44,65,10,22,687
553,553,168,194,155,161,168
554,554,4,8,177,180,571
555,555,242,243,188,194,441
556,556,8,27,303,304,851
557,557,4,10,102,135,978
558,558,260,275,148,150,911
559,559,275,333,37,56,846
560,560,40,61,146,180,532
561,561,243,303,189,209,464
562,562,158,187,158,170,436
563,563,269,354,236,237,650
564,564,144,198,112,120,447
565,565,333,351,207,215,464
566,566,235,258,194,230,386
567,567,154,156,160,207,737
568,568,175,213,379,400,200
569,569,76,89,140,151,805
570,570,285,288,120,129,463
571,571,304,370,300,302,888
572,572,140,154,325,332,675
573,573,76,123,193,201,813
574,574,374,392,240,252,488
575,575,2,9,349,363,544
576,576,260,268,269,305,466
577,577,231,269,164,250,708
578,578,259,346,314,326,870
579,579,274,290,101,129,322
580,580,258,286,274,344,419
581,581,377,385,38,40,105
582,582,273,339,249,278,24
583,583,2,11,178,208,707
584,584,230,243,139,146,706
585,585,153,208,1,61,667
586,586,324,337,54,69,984
587,587,167,198,6,38,744
588,588,349,353,128,129,356
589,589,136,146,229,250,818
590,590,39,62,246,283,976
591,591,4,7,373,391,112
592,592,53,130,207,215,929
593,593,244,256,235,267,543
594,594,165,240,373,398,716
595,595,136,207,117,118,933
596,596,238,271,326,335,726
597,597,339,366,269,287,639
598,598,44,104,374,379,28
599,599,84,94,183,216,355
600,600,370,397,291,292,258
601,601,279,280,368,419,608
602,602,150,213,90,115,228
603,603,177,180,300,315,246
604,604,362,423,99,130,736
605,605,368,404,278,294,813
606,606,10,19,191,195,571
607,607,171,219,190,199,545
608,608,257,258,154,157,184
609,609,42,43,386,387,888
610,610,394,401,150,155,480
611,611,120,142,60,102,797
612,612,230,252,357,451,129
613,613,390,405,151,152,458
614,614,365,418,210,266,849
615,615,218,282,278,333,490
616,616,90,114,315,335,137
617,617,37,48,179,189,399
618,618,220,234,113,138,723
619,619,109,120,110,118,750
620,620,325,332,330,350,50
621,621,17,62,91,91,604
622,622,294,355,390,464,832
623,623,263,339,292,302,902
624,624,239,240,351,373,153
625,625,270,292,142,160,368
626,626,117,167,55,57,185
627,627,258,287,37,59,452
628,628,189,219,323,327,166
629,629,75,102,147,172,529
630,630,310,348,35,69,507
631,631,68,85,92,110,918
632,632,113,184,10,22,959
633,633,385,416,54,57,617
634,634,260,305,84,85,22
635,635,27,75,365,379,590
636,636,72,132,138,179,264
637,637,364,368,67,121,776
638,638,309,389,137,185,24
639,639,332,382,178,202,533
640,640,160,196,210,211,371
641,641,312,350,399,418,311
642,642,153,157,56,114,519
643,643,378,385,254,310,388
644,644,204,250,30,78,961
645,645,27,35,149,173,153
646,646,333,391,337,344,259
647,647,229,232,201,203,670
648,648,382,431,134,156,149
649,649,333,376,365,366,201
650,650,101,117,135,160,949
651,651,363,398,16,70,409
652,652,85,88,112,114,879
653,653,133,146,61,73,564
654,654,356,359,41,117,413
655,655,27,34,125,147,435
656,656,397,430,245,254,577
657,657,363,434,221,222,349
658,658,107,111,165,208,342
659,659,331,342,176,185,50
660,660,128,192,340,347,305
661,661,16,35,373,385,554
662,662,1,67,399,458,598
663,663,381,410,394,417,383
664,664,234,259,259,303,333
665,665,51,139,320,346,677
666,666,229,262,177,205,894
667,667,237,289,128,177,555
668,668,206,257,303,331,383
669,669,74,126,282,297,785
670,670,42,108,321,342,308
671,671,42,79,311,337,19
672,672,348,388,106,109,926
673,673,108,119,196,225,518
674,674,174,207,242,334,328
675,675,310,315,99,103,237
676,676,201,271,317,340,620
677,677,87,112,72,88,393
678,678,336,370,189,218,16
679,679,151,166,354,355,286
680,680,50,77,19,47,964
681,681,258,328,229,243,806
682,682,125,146,97,120,431
683,683,274,289,58,71,525
684,684,291,296,261,267,826
685,685,241,259,123,138,551
686,686,53,109,247,344,122
687,687,274,296,125,132,679
688,688,278,312,299,327,475
689,689,304,374,170,197,683
690,690,136,184,373,390,976
691,691,299,307,254,281,914
692,692,111,125,288,292,294
693,693,259,260,102,128,918
694,694,282,284,399,425,226
695,695,324,331,327,335,297
696,696,265,274,182,206,409
697,697,331,377,170,193,201
698,698,21,47,368,382,444
699,699,290,364,296,321,162
700,700,234,242,19,24,704
701,701,135,169,50,77,437
702,702,56,77,273,301,933
703,703,40,58,124,182,637
704,704,269,316,130,155,197
705,705,246,272,249,273,868
706,706,97,97,275,301,943
707,707,83,105,390,467,112
708,708,71,144,141,152,381
709,709,65,131,284,289,270
710,710,56,62,231,243,645
711,711,117,139,1,17,91
712,712,295,297,63,89,379
713,713,358,364,150,182,612
714,714,295,324,182,221,587
715,715,33,96,35,74,130
716,716,390,398,225,225,821
717,717,343,402,209,217,530
718,718,179,185,25,31,333
719,719,49,61,237,268,837
720,720,330,372,276,285,428
721,721,240,275,145,171,683
722,722,371,428,60,87,612
723,723,285,287,79,81,384
724,724,350,369,83,162,923
725,725,395,398,119,133,163
726,726,64,114,238,248,77
727,727,249,253,329,340,140
728,728,33,73,61,94,324
729,729,243,315,355,414,449
730,730,237,239,211,228,641
731,731,106,143,21,43,898
732,732,388,420,239,246,326
733,733,99,128,217,254,477
734,734,224,228,327,337,998
735,735,28,64,395,404,47
736,736,173,177,169,190,597
737,737,393,398,25,31,371
738,738,208,215,254,285,579
739,739,111,137,117,140,389
740,740,301,305,363,372,369
741,741,122,123,222,244,997
742,742,188,197,12,13,571
743,743,106,160,132,134,860
744,744,77,137,39,97,632
745,745,266,275,66,68,38
746,746,247,249,180,238,447
747,747,187,194,70,75,643
748,748,394,458,158,162,518
749,749,246,274,51,52,786
750,750,10,47,340,349,739
751,751,246,263,373,377,432
752,752,387,404,214,229,449
753,753,301,304,294,305,519
754,754,86,101,39,71,402
755,755,282,299,57,92,446
756,756,310,318,327,361,78
757,757,84,150,205,207,509
758,758,226,227,4,39,973
759,759,37,44,183,192,121
760,760,262,291,351,373,791
761,761,268,273,317,318,17
762,762,107,167,158,166,659
763,763,70,74,164,179,77
764,764,320,346,380,385,109
765,765,394,427,322,343,53
766,766,308,354,136,209,508
767,767,195,197,325,336,881
768,768,5,17,244,269,402
769,769,295,324,231,233,166
770,770,378,397,396,475,308
771,771,371,458,133,138,618
772,772,218,275,36,44,369
773,773,122,171,140,155,512
774,774,10,16,288,290,857
775,775,3,8,4,62,396
776,776,71,82,27,52,228
777,777,384,405,240,270,687
778,778,9,10,313,348,876
779,779,307,308,96,97,27
780,780,106,151,6,17,128
781,781,237,240,330,338,692
782,782,294,320,199,252,100
783,783,305,329,344,375,296
784,784,59,65,23,24,443
785,785,195,240,333,404,774
786,786,126,127,152,200,829
787,787,252,259,314,374,445
788,788,379,379,91,112,863
789,789,212,219,36,42,174
790,790,347,353,189,218,716
791,791,324,351,58,129,875
792,792,142,148,275,314,271
793,793,60,84,236,255,262
794,794,336,336,86,92,51
795,795,128,128,23,32,119
796,796,126,145,96,161,744
797,797,122,136,121,207,969
798,798,107,108,337,342,734
799,799,214,249,313,391,331
800,800,73,88,352,369,329
801,801,318,341,16,61,438
802,802,246,247,165,196,911
803,803,337,345,369,372,694
804,804,73,120,301,336,410
805,805,377,474,266,309,866
806,806,373,396,65,105,573
807,807,369,435,81,94,167
808,808,350,411,170,202,376
809,809,317,332,212,224,175
810,810,373,376,5,18,308
811,811,17,32,226,245,223
812,812,334,378,223,244,801
813,813,164,191,394,400,680
814,814,256,287,65,94,25
815,815,45,101,236,239,617
816,816,133,135,9,20,768
817,817,259,290,144,146,630
818,818,3,17,18,20,195
819,819,97,99,383,442,499
820,820,379,381,86,174,500
821,821,100,172,320,331,66
822,822,14,58,385,390,949
823,823,132,155,217,232,828
824,824,206,212,153,158,566
825,825,279,286,161,190,518
826,826,12,45,60,64,160
827,827,391,420,244,252,497
828,828,137,152,260,280,158
829,829,313,318,89,101,569
830,830,345,366,142,147,515
831,831,236,237,86,88,322
832,832,326,344,201,217,804
833,833,147,163,309,314,613
834,834,129,142,132,153,768
835,835,269,276,372,393,537
836,836,112,131,109,110,239
837,837,158,175,12,23,353
838,838,125,153,87,89,179
839,839,367,386,44,48,787
840,840,280,344,288,289,280
841,841,335,352,175,176,679
842,842,120,143,128,144,517
843,843,257,285,40,60,241
844,844,389,395,285,296,968
845,845,42,102,230,236,778
846,846,307,322,250,278,227
847,847,343,421,295,311,453
848,848,321,372,100,107,958
849,849,274,283,310,311,545
850,850,28,51,354,387,440
851,851,189,206,334,368,11
852,852,331,369,260,280,274
853,853,207,209,180,202,840
854,854,254,287,390,448,989
855,855,118,125,319,354,984
856,856,287,289,319,352,803
857,857,392,392,129,189,399
858,858,264,274,266,296,185
859,859,372,439,300,325,730
860,860,227,241,397,443,417
861,861,7,27,386,390,588
862,862,210,274,147,191,837
863,863,122,122,363,416,322
864,864,343,409,162,225,319
865,865,44,52,318,379,374
866,866,217,227,172,173,259
867,867,35,84,298,330,674
868,868,386,401,154,160,992
869,869,46,65,248,249,47
870,870,87,106,276,290,306
871,871,129,176,392,396,162
872,872,387,422,372,403,813
873,873,63,73,144,215,915
874,874,350,373,335,337,963
875,875,153,166,46,51,24
876,876,96,97,226,227,438
877,877,326,371,178,212,386
878,878,283,284,120,160,291
879,879,254,302,12,18,137
880,880,271,306,148,201,615
881,881,229,283,365,395,634
882,882,336,368,150,152,651
883,883,168,174,199,272,409
884,884,125,148,107,107,689
885,885,350,364,14,22,90
886,886,206,215,349,356,434
887,887,201,255,187,200,94
888,888,15,28,189,192,545
889,889,139,140,354,354,750
890,890,155,173,254,285,714
891,891,157,163,92,109,588
892,892,105,163,33,54,881
893,893,376,379,124,125,90
894,894,352,377,54,104,28
895,895,89,90,35,50,995
896,896,4,9,347,364,214
897,897,40,54,157,210,477
898,898,252,279,148,168,384
899,899,292,360,213,232,703
900,900,32,42,319,396,4
901,901,378,403,241,254,216
902,902,54,61,102,159,690
903,903,64,84,5,18,422
904,904,145,188,272,353,537
905,905,241,253,261,262,221
906,906,354,356,276,303,943
907,907,289,297,282,298,989
908,908,324,362,129,221,234
909,909,26,33,127,144,549
910,910,18,20,10,62,575
911,911,27,35,9,41,861
912,912,63,78,243,277,379
913,913,257,279,184,187,488
914,914,195,198,70,105,184
915,915,255,286,106,110,825
916,916,60,93,182,202,759
917,917,51,53,128,187,363
918,918,237,248,2,72,711
919,919,5,6,180,190,463
920,920,85,124,58,58,364
921,921,372,372,295,323,691
922,922,332,349,196,232,385
923,923,94,137,180,206,592
924,924,389,407,18,19,239
925,925,125,136,34,44,937
926,926,187,249,335,347,113
927,927,275,292,386,387,436
928,928,83,89,306,338,681
929,929,202,233,153,185,951
930,930,203,207,61,85,665
931,931,101,145,172,217,335
932,932,258,274,322,365,330
933,933,66,82,324,333,280
934,934,285,324,73,86,983
935,935,175,176,381,386,447
936,936,192,195,32,44,197
937,937,271,273,300,310,463
938,938,262,268,166,190,56
939,939,250,293,211,219,913
940,940,278,300,84,125,551
941,941,66,76,205,215,885
942,942,151,161,226,243,253
943,943,71,83,40,130,764
944,944,216,216,175,181,515
945,945,223,232,305,321,955
946,946,196,212,267,273,702
947,947,397,403,200,204,24
948,948,44,47,23,29,364
949,949,148,155,78,83,337
950,950,199,200,13,46,340
951,951,336,350,19,49,565
952,952,219,227,10,25,620
953,953,65,65,284,289,135
954,954,4,6,173,180,873
955,955,258,302,48,92,690
956,956,393,427,76,77,968
957,957,344,353,330,335,753
958,958,117,160,99,136,480
959,959,91,107,246,308,512
960,960,86,142,246,269,540
961,961,51,56,69,97,247
962,962,363,364,185,218,792
963,963,34,64,43,86,765
964,964,285,315,115,140,216
965,965,138,161,191,215,257
966,966,278,324,247,256,115
967,967,45,60,29,65,426
968,968,102,167,400,434,942
969,969,375,384,334,351,185
970,970,172,200,126,152,975
971,971,336,342,265,289,294
972,972,169,185,362,390,815
973,973,198,228,325,333,70
974,974,124,134,167,193,935
975,975,146,181,4,28,658
976,976,75,78,8,84,954
977,977,387,389,264,284,76
978,978,219,301,232,273,280
979,979,332,374,201,258,984
980,980,59,82,171,191,53
981,981,374,384,324,324,87
982,982,21,84,218,302,280
983,983,140,158,204,246,339
984,984,329,391,300,348,856
985,985,81,99,382,434,47
986,986,137,143,246,247,179
987,987,15,19,22,53,250
