CODIGODEBARRAS,NOMBRE,PRESENTACION,MARCA,UNIDADDEMEDIDA,ESPECIFICACIONEMPACADO,CATEGORIA
"i2c5c1f5p6,""Pail - 4l White, With Handle"",Botella Vidrio,Flashpoint,gr,vestibulum aliquet,99"
g5u5b3u8e7,Wine - Chateauneuf Du Pape,Caja,Zoomlounge,gr,iaculis diam,100
g3j6w7t5o3,Kellogs Special K Cereal,Botella Vidrio,Eayo,cm3,vestibulum,101
z6b2i6e9o4,Sprouts - Corn,Caja,Yambee,gr,in ante,102
q8e0c7s5f7,Longos - Lasagna Veg,Caja,Vipe,gr,amet diam,103
"s4g8a7u3o5,""Pepper - Red, Finger Hot"",Ancheta,Mydeo,gr,tincidunt ante,104"
d0d0f6f1l3,Lid Tray - 16in Dome,Ancheta,Jaxnation,cm3,ipsum,105
h2f7p7l5e7,Red Pepper Paste,Botella,Rhynyx,gr,mauris sit,106
m3p8t9z4h4,Silicone Parch. 16.3x24.3,Paquete,Youopia,cm3,porttitor,107
b9q2n6g0i4,Browning Caramel Glace,Bolsa,Realmix,cm3,nulla,108
w3c6n7u6k2,French Kiss Vanilla,Botella,Centimia,cm3,risus,109
"o0e2k6k3s7,""Leeks - Baby, White"",Paquete,Tagcat,cm3,a,110"
g1a0h4w4v7,Beer - Creemore,Paquete,Bluejam,cm3,vivamus tortor,111
"z8w7z0d0d8,""Veal - Leg, Provimi - 50 Lb Max"",Botella,Miboo,gr,nam dui,112"
q2d5a3y2o0,Veal - Inside,Regalo,Jabberbean,cm3,aliquam non,113
q5b2e1w9v7,Soup Campbells Beef With Veg,Regalo,Wordtune,gr,sed,114
l7f5k9w5f7,Garlic,Ancheta,Avamba,cm3,id,115
d6m6c6k4e8,Longos - Chicken Wings,Botella,Zoovu,gr,id luctus,116
v2r8h2c3h7,Southern Comfort,Caja,Trudoo,cm3,fusce,117
r7a5e2h3l5,Cleaner - Bleach,Caja,Flipbug,gr,placerat,118
f9t1t5v0o4,Soup - Campbells Beef Strogonoff,Ancheta,Demimbu,gr,sed tristique,119
"e9j2e8k6p4,""Pepper - Chipotle, Canned"",Canasta,Jabbersphere,gr,in felis,120"
s0h8z6t5v1,Chinese Foods - Chicken,Ancheta,Linktype,gr,posuere,121
"e8s8s9x8b7,""Oil - Truffle, Black"",Tela,Fivebridge,gr,bibendum,122"
"c3f3z8y4g0,""Chicken - Leg, Boneless"",Caja,Realcube,cm3,sociis natoque,123"
a3o9c1l5j1,Cloves - Whole,Ancheta,Buzzshare,gr,rutrum,124
"h5i5a8p9z3,""Wine - Mas Chicet Rose, Vintage"",Bolsa,Flashdog,cm3,volutpat quam,125"
"b7t1z2t7j6,""Vodka - Lemon, Absolut"",Bolsa,Wordware,gr,justo,126"
n5x0n7o4w7,Island Oasis - Magarita Mix,Regalo,Riffpath,cm3,felis,127
p6e3p0h5t0,Beef - Inside Round,Canasta,Eayo,cm3,dapibus,128
n1m0l8h6u1,Appetizer - Cheese Bites,Botella,Photofeed,gr,ut,129
s6o1j0f5x6,Wasabi Paste,Paquete,Kanoodle,gr,eu,130
p1m6a5b3m3,Slt - Individual Portions,Bolsa,Jayo,gr,semper,131
z9e3m8n7f7,Yucca,Bolsa,Livefish,gr,id,132
"t0h1y6g5s1,""Shrimp - 16 - 20 Cooked, Peeled"",Tela,Dabshots,cm3,vestibulum,133"
u9j9r9v5m3,Meldea Green Tea Liquor,Bolsa,Gabtype,cm3,morbi,134
"r7z9n4o5c3,""Wine - White, Gewurtzraminer"",Caja,Skilith,cm3,vivamus,135"
h1p4u5y6n9,Tea - English Breakfast,Caja,Blogtag,cm3,augue quam,136
"n0q2n7p9r6,""Lettuce - Romaine, Heart"",Paquete,Gabvine,cm3,odio donec,137"
f4a4z9d9t7,Soup Campbells,Botella Plastica,LiveZ,gr,donec odio,138
m7p4b4h6j6,Broom And Broom Rack White,Caja,Twitterwire,gr,commodo,139
z9f6f8m5k8,Toothpick Frilled,Regalo,Dabfeed,gr,mauris,140
h6f2k3j5v2,Lobster - Canned Premium,Botella Vidrio,Topicstorm,cm3,sem,141
s2r2r4d3i9,Pail For Lid 1537,Ancheta,Roombo,gr,quis,142
"t4x8p9j0n7,""Marsala - Sperone, Fine, D.o.c."",Regalo,Quinu,gr,id,143"
i3y9y7j4w8,Wiberg Cure,Tela,Dynava,gr,nec,144
"k8n9b6u9o6,""Wine - Red, Concha Y Toro"",Paquete,Quimba,gr,risus,145"
"z4b7l5k0j6,""Water - Spring Water, 355 Ml"",Tela,Quinu,gr,sapien,146"
h5k8w6t4v1,Chicken Thigh - Bone Out,Caja,Gabspot,gr,sed,147
e0z3e6w7x5,Sherry - Dry,Botella Vidrio,Vinte,cm3,ac,148
t4i6r8f7d0,Gelatine Powder,Regalo,Bubbletube,cm3,commodo,149
v0y0e2w5e1,Lemon Tarts,Tela,Tazzy,gr,consequat ut,150
w4r7a9k7p3,Vegetable - Base,Bolsa,Mita,gr,cubilia curae,151
v3c9g8m9v6,Beans - Kidney White,Tela,Fanoodle,cm3,in sagittis,152
"i8b6w1l8o4,""Rum - Coconut, Malibu"",Regalo,Wordify,cm3,amet eros,153"
h5v2k1p3u0,Anchovy In Oil,Caja,Topiczoom,cm3,consequat nulla,154
h2b6h0b9s1,Frangelico,Botella Plastica,Edgeify,cm3,sagittis sapien,155
c5n4h6h2i8,Bar - Granola Trail Mix Fruit Nut,Bolsa,Jaxspan,cm3,nonummy integer,156
w5w6i0o3i4,Soup - Campbells Asian Noodle,Bolsa,Quinu,cm3,mattis,157
y3r2j1g0u2,Wine - Casillero Del Diablo,Caja,Camido,gr,sem mauris,158
"m7x4q3x9c7,""Salsify, Organic"",Ancheta,Rhyzio,cm3,ultrices,159"
m2t8q0g1l9,Sultanas,Paquete,Yombu,gr,viverra,160
"b2e3h7y2j9,""Basil - Dry, Rubbed"",Tela,Geba,gr,faucibus orci,161"
p2l8s9k3f0,Bread - Raisin Walnut Oval,Botella Vidrio,Agivu,cm3,blandit ultrices,162
"k3e0d6m5y1,""Chicken - White Meat, No Tender"",Regalo,Blognation,gr,venenatis non,163"
x7w0o4h2i0,Tea - Grapefruit Green Tea,Botella Vidrio,Devcast,gr,nulla sed,164
n6z1c5g0h6,Rice - Jasmine Sented,Bolsa,Skinte,cm3,amet eleifend,165
z8t7b2f3c4,Wonton Wrappers,Canasta,Topiczoom,cm3,iaculis congue,166
q8m5c2t0n8,Spinach - Spinach Leaf,Regalo,Mydeo,cm3,augue vestibulum,167
"w6z4q0m5u0,""Soup - Campbells, Beef Barley"",Bolsa,Midel,gr,quis,168"
l8r0z7i2f1,Plasticforkblack,Tela,Izio,cm3,augue,169
p9a2k6x2j4,Bacardi Breezer - Tropical,Paquete,Fanoodle,gr,congue etiam,170
r0o5d8z2l6,Yogurt - Assorted Pack,Tela,Skibox,cm3,rutrum nulla,171
"t3o2e8y2l8,""Lamb - Pieces, Diced"",Botella,Dabshots,gr,nisi,172"
w8e2a9a1d5,Bread - Wheat Baguette,Botella Plastica,Babbleblab,gr,sagittis nam,173
"q6z9y2g1f1,""Trout - Hot Smkd, Dbl Fillet"",Botella Vidrio,Youspan,gr,maecenas tincidunt,174"
"d0y9c1b2i3,""Tray - Foam, Square 4 - S"",Regalo,Meembee,gr,augue,175"
j0w2j5y9x2,Sausage - Breakfast,Botella,Realbuzz,cm3,in,176
s7e5j7p5m8,Raspberries - Frozen,Paquete,Cogilith,gr,euismod,177
d5p3v4j8e8,Cookies - Englishbay Wht,Botella Vidrio,Feedmix,gr,molestie nibh,178
y5q2t3s4o2,Nectarines,Tela,Devshare,cm3,pretium iaculis,179
l6f8e0m2c0,Juice - Ocean Spray Kiwi,Paquete,Feedfire,cm3,sed vel,180
q0q2m6g6g5,Lettuce - Arugula,Ancheta,Lajo,gr,duis bibendum,181
"b2k7s6n2w9,""Oil - Food, Lacquer Spray"",Canasta,Flipopia,cm3,quis,182"
y5v6m2u2y9,Muffin Batt - Choc Chk,Regalo,Vidoo,gr,sem sed,183
y7u4g6t3x2,Sauce - Rosee,Tela,Meevee,cm3,donec posuere,184
p8a1s8y9x4,Spice - Paprika,Botella Vidrio,Babbleset,cm3,justo,185
m6q8x5n6j7,Strawberries - California,Caja,Browseblab,gr,odio,186
m2k2e7s6j7,Cup Translucent 9 Oz,Botella Vidrio,Bubblemix,gr,tempus semper,187
r6f6p6f5x5,Sage Ground Wiberg,Botella Plastica,Browsebug,cm3,quam sollicitudin,188
"a8l4y6k6e9,""Capon - Breast, Double, Wing On"",Regalo,Midel,gr,amet,189"
h0s6f8p0v4,Cleaner - Pine Sol,Regalo,Zoozzy,gr,magna,190
"b0e0i5p4g6,""Sauce - White, Mix"",Botella Vidrio,Rooxo,cm3,sollicitudin,191"
f3y8s7s6c2,Pears - Anjou,Regalo,Janyx,gr,libero convallis,192
d6e8v0k5k5,Wine - Pinot Noir Latour,Bolsa,Topicstorm,gr,euismod scelerisque,193
y3w0g4n7h6,Pop Shoppe Cream Soda,Caja,Dabjam,gr,habitasse platea,194
s1e2l7o9m8,Tea - Mint,Botella Vidrio,Feedfire,cm3,pellentesque at,195
i1c8r3n1e9,Chicken - Bones,Caja,Divanoodle,gr,est quam,196
"w8y5w7f9d4,""Fish - Artic Char, Cold Smoked"",Caja,Thoughtmix,cm3,enim sit,197"
o2e9k4w3n5,Horseradish Root,Canasta,Brainsphere,gr,primis in,198
t3w9c9k6p6,Water - Green Tea Refresher,Paquete,Zoombeat,gr,aenean,199
z5w4t2e4n0,Olives - Stuffed,Ancheta,Skinix,cm3,orci,200
c7x4o3p2w6,Wine - Delicato Merlot,Paquete,Meemm,gr,amet,201
n5z6x6w5j9,Onions - White,Regalo,DabZ,cm3,in,202
n8m4n0m8o2,Scallops - In Shell,Ancheta,Devify,gr,eu,203
e6s0d1t8e1,Tequila - Sauza Silver,Tela,Meetz,cm3,in,204
w1n7c6q5b0,Mangostein,Tela,Photofeed,gr,ultrices,205
j1k5t8j8l0,Wine - Lamancha Do Crianza,Paquete,Edgeify,cm3,iaculis,206
f4l3t1o1b2,Beef - Prime Rib Aaa,Canasta,Twitterwire,cm3,consequat lectus,207
"m1v2o5n3v8,""Cookies - Oreo, 4 Pack"",Botella Plastica,Edgeblab,cm3,faucibus cursus,208"
o2q1i7m1w9,Lettuce Romaine Chopped,Botella Plastica,Photobug,cm3,lobortis est,209
q4c6g0n5g2,Fond - Chocolate,Regalo,Rhynyx,gr,consectetuer adipiscing,210
l0z7b6l0v7,Bread Country Roll,Bolsa,Plajo,gr,consequat,211
l9t2q3c4u4,Glove - Cutting,Tela,Brainsphere,cm3,porta volutpat,212
m6f5x3b4j4,Table Cloth 144x90 White,Botella,Oodoo,gr,elementum eu,213
"e4n2g2u5d2,""Mushroom - Shitake, Dry"",Regalo,Fatz,cm3,tortor sollicitudin,214"
x6z4q9j9l6,Fiddlehead - Frozen,Tela,Zoomlounge,gr,rutrum nulla,215
n0k2n6v9r5,Soup - Boston Clam Chowder,Regalo,Kwimbee,gr,amet eros,216
"o9u3z8z0j1,""Veal - Brisket, Provimi, Bone - In"",Regalo,Thoughtstorm,gr,curae donec,217"
"w7p0u9i3b8,""Cup - 3.5oz, Foam"",Ancheta,Viva,gr,aliquam convallis,218"
n1r2m3g6f9,Beer - Guiness,Botella,Meemm,cm3,lacinia,219
i5k5p9g6t2,Potatoes - Mini Red,Botella,Demivee,cm3,leo,220
"k6f6a1r9y0,""Lamb - Whole Head Off,nz"",Bolsa,Jabberbean,gr,in,221"
a3x0d1i8r6,Wine - Pinot Noir Latour,Bolsa,Skippad,gr,montes,222
j0t2l7s9u2,Ecolab - Hobart Upr Prewash Arm,Botella Vidrio,Skivee,cm3,quis turpis,223
m8i6g8b4v9,Island Oasis - Ice Cream Mix,Canasta,Kazio,cm3,dapibus,224
h7o4f4p7g0,Yogurt - French Vanilla,Caja,Tagchat,cm3,posuere,225
b0h4w5l7b2,Cookies - Amaretto,Canasta,Agimba,cm3,turpis eget,226
u9t6i8r8l1,Bouillion - Fish,Botella Vidrio,Twitterbeat,gr,mi,227
"b6f9x4b3y4,""Salmon - Atlantic, No Skin"",Ancheta,Nlounge,gr,nec condimentum,228"
w9q0p6g0z6,Cloves - Whole,Ancheta,Jaloo,cm3,donec,229
c9b5f2f9z1,Pastry - Baked Cinnamon Stick,Paquete,Bubblemix,gr,augue vestibulum,230
u3k1d0d9h1,Sausage - Breakfast,Canasta,Yodo,gr,nulla ut,231
y2q8p9v9p4,Liqueur - Melon,Caja,Voonix,cm3,congue,232
d0b8m9e7c5,Energy Drink - Franks Original,Botella Plastica,Kwilith,cm3,neque aenean,233
q0e6x9q9l4,Mcgillicuddy Vanilla Schnap,Ancheta,Cogidoo,cm3,at diam,234
y8d8h0f8t1,Pail With Metal Handle 16l White,Bolsa,Zoomlounge,gr,etiam vel,235
w8e9o3u1a2,Flour - Whole Wheat,Ancheta,Jamia,gr,metus vitae,236
w8y4n8q6e6,Wine - Cave Springs Dry Riesling,Botella,Livetube,cm3,sed interdum,237
p5e7m9r7o3,Mcguinness - Blue Curacao,Canasta,Jaxworks,cm3,sociis natoque,238
"i3w1w9x2e9,""Turkey - Breast, Smoked"",Botella,Cogibox,gr,est,239"
u2p9a1m7k5,Foil - Round Foil,Paquete,Chatterbridge,gr,primis,240
e8d8t7j8y9,Olives - Stuffed,Regalo,Yodo,gr,sed augue,241
m1f0p6m5k6,Apple - Northern Spy,Botella Plastica,Brightdog,gr,neque,242
v1z7e5p1d8,Halibut - Steaks,Botella Vidrio,Topicshots,cm3,nunc viverra,243
a6l7q6j9b8,Rolled Oats,Bolsa,Tanoodle,cm3,donec,244
a2s7h4c5n9,Foam Tray S2,Bolsa,Oyoba,cm3,dolor vel,245
u0n6b7z9v5,Cheese - Bocconcini,Regalo,Topicstorm,cm3,quis,246
b2e9b9j9u3,Bar Bran Honey Nut,Botella,Skynoodle,gr,morbi ut,247
r1b8p4b9q9,Green Scrubbie Pad H.duty,Canasta,Chatterpoint,gr,quis lectus,248
"u8a3j3n2z6,""Sprite, Diet - 355ml"",Paquete,Skinder,gr,sem,249"
b4x9h2l2z6,Spice - Onion Powder Granulated,Botella,Centimia,cm3,mauris non,250
l3n9a1e2y9,Scallops 60/80 Iqf,Regalo,Voolith,gr,justo sollicitudin,251
z5z8o3p1q3,Island Oasis - Pina Colada,Bolsa,Quamba,cm3,vulputate ut,252
f7f0g8m9x3,Ginger - Fresh,Caja,Wordify,gr,odio,253
g9c7o6w7o6,Cheese - Brick With Pepper,Bolsa,Demizz,gr,ultricies eu,254
f6d1h9s2j3,Spring Roll Veg Mini,Botella Plastica,Jabberstorm,cm3,ipsum praesent,255
r1n3p0m1a0,Dill Weed - Dry,Tela,Wikivu,cm3,posuere,256
j8o6c9i0u0,Bread Sour Rolls,Ancheta,Kwilith,gr,justo aliquam,257
n3m4m2j6z3,Cabbage - Green,Canasta,Myworks,cm3,porta,258
"n8m5j9x5l5,""C - Plus, Orange"",Ancheta,Teklist,gr,cursus vestibulum,259"
w6n7i1w0b2,Cake - Mini Cheesecake,Paquete,Gigazoom,cm3,at,260
w8c1h3h3e2,Muffin - Banana Nut Individual,Bolsa,Buzzster,cm3,ultrices aliquet,261
y4w9m5n2c4,Spinach - Frozen,Botella Plastica,Oyondu,gr,sit amet,262
y5z2p8j8b1,Eggplant - Baby,Regalo,Divavu,gr,a,263
q9b2a8h8o1,Wine - Masi Valpolocell,Tela,Zoomdog,cm3,nulla,264
l8w7d0n4c7,Fond - Neutral,Paquete,Janyx,cm3,viverra,265
l8t4t1p8u8,Ice Cream - Chocolate,Botella Plastica,Dabtype,gr,donec,266
o1k4i1b6l4,Kiwi Gold Zespri,Tela,Eidel,gr,faucibus,267
s0b9z8i9p6,Veal - Liver,Paquete,Zoomzone,cm3,aliquet,268
q5d0g5g6j8,Table Cloth 54x72 White,Botella Vidrio,Geba,cm3,ut nunc,269
c3b7b1c4y5,Guinea Fowl,Paquete,Wordtune,cm3,erat,270
y5s7g0m0p7,Numi - Assorted Teas,Regalo,Rhycero,gr,ipsum,271
k2l7w2b9n9,Nantucket - Carrot Orange,Tela,Divanoodle,gr,vitae,272
d4s2u3u9k0,Sorrel - Fresh,Caja,Voonte,gr,nullam,273
e8t0h0w6u8,Orange - Tangerine,Canasta,Youopia,gr,quam fringilla,274
p6v1w3j6w3,Garlic - Peeled,Botella Plastica,Vitz,gr,a,275
k6d9m5f3m9,Soup Bowl Clear 8oz92008,Botella Plastica,Devify,gr,vel sem,276
q0h3v7f4w0,Godiva White Chocolate,Regalo,Realfire,cm3,mauris lacinia,277
m0z2b9i4h2,Lettuce - Lolla Rosa,Ancheta,Roomm,cm3,vel,278
e2n0c5j8f5,Spice - Paprika,Canasta,Quatz,gr,sed,279
"o2y3b2l9n2,""Pepper - Green, Chili"",Canasta,Thoughtbridge,gr,a feugiat,280"
l7t4d6q6b9,Wine - Black Tower Qr,Botella,InnoZ,cm3,tellus semper,281
c5d7w1g8p6,Goat - Leg,Caja,Babbleopia,gr,amet,282
l7s5z6t3h1,Foam Espresso Cup Plain White,Tela,Muxo,gr,libero convallis,283
b5l7o0f7w1,Soup - Verve - Chipotle Chicken,Regalo,Rhynoodle,cm3,mi,284
b5y7p7g4p1,Kahlua,Caja,Yodo,cm3,vestibulum eget,285
x1d9k0j9d2,Tomatoes - Orange,Botella Vidrio,Yakidoo,cm3,blandit non,286
y3y6z7q2h3,Container - Hngd Cll Blk 7x7x3,Botella Vidrio,Aivee,cm3,semper,287
j5o9c5c8d2,Lemon Pepper,Tela,Jaxbean,cm3,ut at,288
b4u2e9a5u3,Coffee Swiss Choc Almond,Botella,Vidoo,cm3,venenatis,289
z0n5r7d4q8,Cheese - Swiss Sliced,Bolsa,Gabspot,gr,eros,290
c7u4k9b7y3,Cheese - Swiss Sliced,Tela,Lazz,cm3,non mattis,291
r5v0n6l5c5,Pastry - Plain Baked Croissant,Tela,Yozio,gr,dictumst maecenas,292
b7e3z7a4h4,Carbonated Water - Raspberry,Regalo,Edgeblab,gr,vestibulum vestibulum,293
t2j6t4b0x4,Mince Meat - Filling,Canasta,Edgewire,gr,nam nulla,294
u0y9a2k7j2,Pork - Liver,Ancheta,Blogpad,gr,id luctus,295
t9p7d6n7z2,Beef - Sushi Flat Iron Steak,Botella,Skaboo,cm3,placerat,296
"a6v3l4m5j3,""Crab - Blue, Frozen"",Regalo,Jetwire,cm3,montes nascetur,297"
